バアサマ,http://db.netkeiba.com/horse/2013100680/
バイアウト,http://db.netkeiba.com/horse/2014105577/
ハイアガール,http://db.netkeiba.com/horse/2013104897/
バイアストリート,http://db.netkeiba.com/horse/2014101472/
ハイアビリティー,http://db.netkeiba.com/horse/2012100071/
ハイアーヴォルト,http://db.netkeiba.com/horse/2012106252/
ハイアーグラウンド,http://db.netkeiba.com/horse/2014105391/
ハイアーパーク,http://db.netkeiba.com/horse/2015102770/
ハイヴォルテージ,http://db.netkeiba.com/horse/2012102855/
ハイエストクイーン,http://db.netkeiba.com/horse/2015105433/
ハイエストシルバー,http://db.netkeiba.com/horse/2012104318/
バイオスパーク,http://db.netkeiba.com/horse/2015103627/
パイオニアゴールド,http://db.netkeiba.com/horse/2014102032/
パイオニアバイオ,http://db.netkeiba.com/horse/2015104664/
パイオニアワーク,http://db.netkeiba.com/horse/2014102884/
バイオネッタ,http://db.netkeiba.com/horse/2014103467/
バイオレットガール,http://db.netkeiba.com/horse/2014101774/
バイオレットフィズ,http://db.netkeiba.com/horse/2012101809/
バイオレントブロー,http://db.netkeiba.com/horse/2015103930/
ハイオンザリスト,http://db.netkeiba.com/horse/2012105947/
バイオンディップス,http://db.netkeiba.com/horse/2012104466/
バイガエシ,http://db.netkeiba.com/horse/2012106023/
バイカルフォンテン,http://db.netkeiba.com/horse/1998101418/
ハイクアウト,http://db.netkeiba.com/horse/2014101226/
パイクステソーロ,http://db.netkeiba.com/horse/2016103654/
ハイクラスバイオ,http://db.netkeiba.com/horse/2013100703/
ハイクリア,http://db.netkeiba.com/horse/2015101673/
バイザスコット,http://db.netkeiba.com/horse/2012101365/
ハイジャ,http://db.netkeiba.com/horse/2013102669/
バイスブルー,http://db.netkeiba.com/horse/2011100514/
ハイタイド,http://db.netkeiba.com/horse/2002101867/
バイタルコード,http://db.netkeiba.com/horse/2015106292/
バイタルフォルム,http://db.netkeiba.com/horse/2010102288/
バイタルフォース,http://db.netkeiba.com/horse/1992109425/
バイタルワンダー,http://db.netkeiba.com/horse/2011100946/
ハイチーズ,http://db.netkeiba.com/horse/2015100849/
バイツァダスト,http://db.netkeiba.com/horse/2013103316/
ハイテルカイト,http://db.netkeiba.com/horse/2014102123/
ハイデンガールズ,http://db.netkeiba.com/horse/2013104593/
ハイドロフォイル,http://db.netkeiba.com/horse/2013106184/
ハイドロポリス,http://db.netkeiba.com/horse/2008101310/
ハイドンセット,http://db.netkeiba.com/horse/2012103799/
パイナワレア,http://db.netkeiba.com/horse/2012105691/
ハイハット,http://db.netkeiba.com/horse/2014103938/
ハイパワーゴッド,http://db.netkeiba.com/horse/2014104661/
ハイパワーストーム,http://db.netkeiba.com/horse/2012103089/
ハイパーエンジェル,http://db.netkeiba.com/horse/2010101394/
ハイパーチャージ,http://db.netkeiba.com/horse/2010102635/
ハイパーノヴァ,http://db.netkeiba.com/horse/2014103394/
ハイピュアリティ,http://db.netkeiba.com/horse/2012103625/
ハイヒールモモタン,http://db.netkeiba.com/horse/2015103835/
ハイブログ,http://db.netkeiba.com/horse/2014103884/
バイマイサイド,http://db.netkeiba.com/horse/2015104138/
ハイマウンテンラブ,http://db.netkeiba.com/horse/2013100684/
ハイマックス,http://db.netkeiba.com/horse/2011104592/
ハイヤーアプシス,http://db.netkeiba.com/horse/2014105282/
バイヨネット,http://db.netkeiba.com/horse/2014105013/
バイラルメディア,http://db.netkeiba.com/horse/2015103671/
ハイランドグラス,http://db.netkeiba.com/horse/2012100468/
ハイランドクーラー,http://db.netkeiba.com/horse/2013102074/
ハイランドピーク,http://db.netkeiba.com/horse/2014101727/
ハイランドリュウセ,http://db.netkeiba.com/horse/2011102925/
バイラール,http://db.netkeiba.com/horse/2016103650/
パイルーチェ,http://db.netkeiba.com/horse/2014100344/
バイレ,http://db.netkeiba.com/horse/2012103485/
ハイレベルバイオ,http://db.netkeiba.com/horse/2012104828/
ハイレートクライム,http://db.netkeiba.com/horse/2014105995/
パイロキシン,http://db.netkeiba.com/horse/2012100089/
パイロキネシスト,http://db.netkeiba.com/horse/2012102848/
パイロサンデー,http://db.netkeiba.com/horse/2014106499/
パイロスター,http://db.netkeiba.com/horse/2012103839/
バイーア,http://db.netkeiba.com/horse/2015104094/
ハヴアサニーデイ,http://db.netkeiba.com/horse/2015100733/
ハヴアナイスディ,http://db.netkeiba.com/horse/2014102335/
