horse_name,evaluation,venue,race_name,horse_heads,horse_number,popularity,jockey,jockey_winning_percentage,distance,horse_weight,horse_weight_diff,winning_percentage,order
モウカッテル,0.00,2中山4,報知杯弥生賞(G2),12,6,11,三浦皇成,29.865125,2000,450,+2,7.692308,0
モウカッテル,0.00,2京都4,きさらぎ賞(G3),9,7,7,バルジュ,28.080229,1800,448,+2,7.692308,0
モズアスコット,3.50,1阪神2,阪急杯(G3),18,17,1,ルメール,55.386351,1400,488,+2,62.500000,1
モズアスコット,3.50,5阪神7,阪神C(G2),18,7,1,Ｃ．デム,45.874587,1400,486,-2,62.500000,0
モズカッチャン,3.97,2京都6,京都記念(G2),10,5,2,Ｍ．デム,49.641577,2200,480,+4,70.000000,0
モズカッチャン,3.97,5京都4,エリザベス女王杯(G1),18,5,5,Ｍ．デム,49.641577,2200,476,-2,70.000000,1
モズカッチャン,3.97,4京都5,秋華賞(G1),18,4,5,Ｍ．デム,49.641577,2000,478,-4,70.000000,1
モズカッチャン,3.97,4阪神4,関西TVローズS(G2),18,2,2,Ｍ．デム,49.641577,1800,482,+14,70.000000,0
モズカッチャン,3.97,2東京10,優駿牝馬(G1),18,1,6,和田竜二,29.361399,2400,468,0,70.000000,1
モズカッチャン,3.97,2東京2,サンスポ賞フローラS(G2),18,1,12,和田竜二,29.361399,2000,468,0,70.000000,1
モズスーパーフレア,3.83,2中京3,中スポ賞ファルコンS(G3),16,2,9,中谷雄太,22.538293,1400,478,-4,28.571429,0
モズスーパーフレア,3.83,5京都1,KBSファンタジーS(G3),13,3,7,松若風馬,23.716814,1400,472,0,28.571429,0
モズスーパーフレア,3.83,2小倉12,小倉2歳S(G3),18,11,1,松若風馬,23.716814,1200,472,+2,28.571429,0
モズバンブルビー,0.00,園田,兵庫チャンピオンシッ(G2),12,3,9,笹田知宏,26.884921,1870,462,-3,36.956522,0
モズライジン,3.00,1新潟4,新潟大賞典(G3),16,3,13,熊沢重文,20.204082,2000,478,-10,46.875000,0
モズライジン,3.00,1中京4,東海テレビ杯東海S(G2),16,2,6,中谷雄太,22.538293,1800,488,+8,46.875000,0
モズライジン,3.00,大井,東京大賞典競走(G1),14,4,7,田辺裕信,34.758364,2000,480,-8,46.875000,0
モズライジン,3.00,名古屋,名古屋グランプリ(G2),12,8,3,Ｍ．デム,49.641577,2500,488,+2,46.875000,0
モズライジン,3.00,3中山2,マーチS(G3),15,13,6,中谷雄太,22.538293,1800,470,+3,46.875000,0
モズライジン,3.00,名古屋,名古屋大賞典(G3),12,6,3,中谷雄太,22.538293,1900,467,-7,46.875000,1
モダンウーマン,0.00,門別,エーデルワイス賞〔J(G3),15,12,3,阿部龍,40.893929,1200,498,+10,87.500000,1
モデレイト,0.00,1東京6,デイリー杯クイーンC(G3),16,15,11,武豊,41.235154,1600,456,+4,60.000000,0
モリデンサンバ,0.00,門別,エーデルワイス賞〔J(G3),15,7,12,五十嵐冬,48.400000,1200,492,+4,26.470588,0
モリデンボス,0.00,門別,北海道2歳優駿〔Jp(G3),12,7,12,松井伸也,40.528302,1800,516,+18,23.529412,0
モリデンルンバ,0.00,大井,ジャパンダートダービ(G1),12,5,9,矢野貴之,39.845835,2000,510,+8,58.333333,0
モリトシラユリ,2.33,2中山8,フラワーC(G3),13,3,6,江田照男,12.953020,1800,482,0,43.750000,0
モリトシラユリ,2.33,1東京5,デイリー杯クイーンC(G3),16,12,7,吉田豊,22.889417,1600,482,+4,43.750000,0
モリトシラユリ,2.33,1中山3,フェアリーS(G3),16,8,7,吉田豊,22.889417,1600,478,-4,43.750000,1
モリノラスボス,0.00,園田,兵庫ジュニアグランプ(G2),12,10,8,五十嵐冬,48.400000,1400,503,-1,50.000000,0
モリノラスボス,0.00,5東京1,京王杯2歳S(G2),11,7,10,五十嵐冬,48.400000,1400,504,-9,50.000000,0
モルトアレグロ,0.00,1阪神6,フィリーズレビュー(G2),18,7,1,田辺裕信,34.758364,1400,472,-4,66.666667,0
モルトアレグロ,0.00,5阪神4,阪神ジュベナイルF(G1),18,16,10,吉田隼人,26.300743,1600,472,+2,66.666667,0
モルトベーネ,2.83,1中京4,東海テレビ杯東海S(G2),16,3,6,秋山真一,24.774096,1800,476,+2,44.827586,1
モルトベーネ,2.83,4中京2,チャンピオンズC(G1),15,6,13,秋山真一,24.774096,1800,474,+4,44.827586,0
モルトベーネ,2.83,5京都2,みやこS(G3),15,1,4,秋山真一,24.774096,1800,470,+2,44.827586,0
