日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2018/01/27,1東京1,晴,11,白富士S(OP),,10,6,6,12.3,5,6,内田博幸,56,芝2000,稍,**,2:00.0,1.0,**,3-3-3,36.0-34.9,35.3,524(0),, ,マイネルハニー, 
2018/01/07,1中山2,晴,10,ポルックスS(OP),,16,3,6,9.4,4,9,津村明秀,56,ダ1800,良,**,1:53.7,1.3,**,6-6-7-7,36.6-38.7,39.2,524(+2),, ,アルタイル, 
2017/01/22,1中山7,晴,11,アメリカジョッキーC(G2),,17,7,13,4.0,2,13,シュミノ,56,芝2200,良,**,2:15.0,3.1,**,2-2-3-12,35.8-36.3,39.0,522(-2),, ,タンタアレグリア, 
2016/12/03,4中京1,晴,11,金鯱賞(G2),,13,5,6,7.1,3,5,シュタル,56,芝2000,良,**,1:59.9,0.2,**,3-3-3-4,36.3-34.0,33.7,524(+18),, ,ヤマカツエース,620.0
2015/12/27,5中山8,曇,10,有馬記念(G1),,16,6,12,5.6,3,16,ルメール,55,芝2500,良,**,2:35.5,2.5,**,2-2-2-6,30.9-35.0,37.4,506(0),, ,ゴールドアクター, 
2015/10/25,4京都7,晴,11,菊花賞(G1),,18,8,17,3.1,1,3,ルメール,57,芝3000,良,**,3:04.0,0.1,**,2-2-4-3,35.4-35.4,35.3,506(0),, ,キタサンブラック,"3,266.7"
2015/09/27,4阪神7,晴,11,神戸新聞杯(G2),,15,4,6,8.0,3,1,ルメール,56,芝2400,良,**,2:26.7,-0.3,**,1-1-1-1,36.5-34.1,34.1,506(+6),, ,(リアルスティール),"5,306.4"
2015/07/18,3中京5,晴,11,マレーシアC(1600万下),,17,7,13,13.3,5,1,ルメール,54,芝2000,重,**,2:03.4,-0.3,**,1-1-1-1,38.0-34.3,34.3,500(-10),, ,(マローブルー),"1,855.7"
2015/05/24,3京都10,晴,10,鳳雛S(OP),,10,5,5,1.5,1,3,北村友一,56,ダ1800,良,**,1:51.5,0.2,**,1-1-1-1,36.9-37.5,37.7,510(-2),, ,ライドオンウインド,453.3
2015/05/06,園田,晴,10,兵庫チャンピオンシッ(G2), ,12,3,3,2.6,2,2,北村友一,56,ダ1870,良,**,2:01.9,1.5,**,2-2-2-2, ,39.4,512(+4), , ,クロスクリーガー,700.0
2015/04/05,3中山4,小雨,10,伏竜S(OP),,14,7,11,14.2,6,2,北村友一,56,ダ1800,稍,**,1:53.0,0.0,**,3-3-3-3,37.2-37.8,37.5,508(+2),, ,クロスクリーガー,728.4
2015/01/18,1京都7,晴,4,3歳500万下,,14,8,13,12.6,4,1,北村友一,56,ダ1800,重,**,1:52.1,-0.4,**,2-2-2-1,36.8-36.8,36.8,506(-8),, ,(ジュンスパーヒカル),720.0
2015/01/05,1京都2,晴,4,3歳500万下,,8,5,5,4.5,3,6,松若風馬,54,ダ1800,稍,**,1:54.9,0.8,**,7-7-7-8,37.7-35.9,36.1,514(+2),,,マイネルオフィール, 
2014/12/13,5阪神3,晴,6,2歳新馬,,9,8,9,2.2,1,1,北村友一,55,ダ1800,良,**,1:56.8,-0.1,**,3-3-3-3,39.6-38.4,38.2,512(0),, ,(バスタータイプ),700.0
日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2016/09/23,名古屋,曇,11,サファイアOP, ,9,8,9,17.6,6,4,加藤聡一,52,ダ1800,不,**,2:00.7,3.2,**,9-7-5, ,41.0,520(+4), , ,イワクラギンガ,9.0
2016/09/01,名古屋,晴,12,きんもくせい特別, ,9,6,6,4.1,2,1,岡部誠,56,ダ1600,良,**,1:44.2,-0.8,**,2-2-1, ,37.6,516(-4), , ,(モズノハナミチ),57.0
