日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2016/04/23,2東京1,曇,4,3歳未勝利,,17,6,11,8.6,4,2,柴田善臣,54,芝1800,良,**,1:47.4,0.5,**,14-16-15,35.2-35.8,34.5,448(+4),,,アルスフェルト,200.0
2016/02/28,1小倉6,晴,4,3歳未勝利,,18,7,13,6.7,3,10,川島信二,54,芝2000,良,**,2:03.3,1.0,**,16-17-13-14,36.4-37.1,36.7,444(-4),,,トウカイシェーン, 
2016/02/06,2京都3,晴,5,3歳未勝利,,16,7,13,22.7,6,5,川島信二,54,芝1800,良,**,1:49.1,0.4,**,14-10,36.0-35.3,34.9,448(-2),,,ミッキーグッドネス,50.0
2016/01/10,1京都3,晴,6,3歳新馬,,16,2,4,7.1,4,4,川島信二,54,芝1800,良,**,1:49.9,0.7,**,8-9,36.7-35.1,35.1,450(0),,,ロッテンマイヤー,90.0
日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2017/11/03,大井,晴,12,マルチカムパドックビ, ,10,7,7,4.2,2,2,笹川翼,56,ダ1200,重,**,1:14.3,0.0,**,6-5,35.6-38.7,37.6,477(-5), , ,スイートザザ,64.0
2017/10/02,大井,曇,5,はてなの茶碗賞, ,11,2,2,1.2,1,1,笹川翼,56,ダ1200,稍,**,1:14.6,-0.2,**,6-6,36.0-38.6,37.9,482(-4), , ,(ウエノマルシスター),110.0
2017/09/15,大井,曇,6,C2六　七, ,11,7,9,1.6,1,1,笹川翼,56,ダ1200,良,**,1:15.1,-0.3,**,5-5,36.4-38.7,38.2,486(+2), , ,(ホワイトダンサー),110.0
2017/08/14,大井,曇,2,C3三　四, ,11,6,6,1.7,1,1,笹川翼,56,ダ1200,重,**,1:14.5,-0.6,**,6-6,35.4-39.1,38.0,484(0), , ,(グレースブーケ),80.0
2017/07/28,大井,晴,2,C3三　四, ,15,6,11,2.9,1,3,笹川翼,56,ダ1200,良,**,1:15.0,0.3,**,4-2,35.1-39.6,39.2,484(+9), , ,スータ,20.0
2017/03/23,大井,曇,1,C3三　四, ,13,8,13,1.5,1,1,笹川翼,56,ダ1200,重,**,1:15.2,0.0,**,9-9,36.2-39.0,38.4,475(-1), , ,(メイショウエジソン),80.0
2016/10/28,大井,雨,4,C215　1617, ,12,4,4,4.0,2,2,笹川翼,56,ダ1200,稍,**,1:14.7,0.2,**,2-2,35.7-38.8,38.9,476(-4), , ,マックスゴーゴー,40.0
2016/10/14,大井,曇,5,C3一　二, ,11,3,3,1.2,1,2,和田譲治,56,ダ1200,良,**,1:15.4,0.2,**,5-5,36.2-39.0,38.8,480(+2), , ,ヤハタマル,32.0
2016/09/21,大井,曇,1,C3五　六, ,14,2,2,1.9,1,2,和田譲治,56,ダ1200,不,**,1:13.5,0.0,**,2-2,35.3-38.2,38.1,478(+1), , ,マイネウェリナ,32.0
2016/08/16,大井,曇,1,C3七　八, ,14,4,6,3.6,2,2,笹川翼,56,ダ1200,良,**,1:14.1,0.0,**,6-3,35.8-38.3,37.9,477(+1), , ,ヴェラクルス,32.0
2016/08/01,大井,晴,1,C3八　九十, ,13,3,3,9.0,5,2,笹川翼,56,ダ1200,良,**,1:14.3,0.0,**,7-5,35.1-39.2,38.0,476(+10), , ,クリノメンタンピン,32.0
2016/02/26,大井,晴,4,C3一　二三, ,14,1,1,5.4,2,6,本橋孝太,56,ダ1400,稍,**,1:30.5,1.1,**,8-9-9,38.2-38.4,38.7,466(0), , ,パラゴン, 
