日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2017/12/03,5中山2,晴,7,2歳500万下,,11,6,7,6.4,3,10,柴田善臣,55,ダ1200,良,**,1:14.2,2.0,**,3-4,33.9-38.3,39.9,456(0),, ,リョーノテソーロ, 
2017/10/29,3新潟6,雨,2,2歳未勝利,,15,5,8,2.5,1,1,吉田隼人,55,ダ1200,稍,**,1:12.3,-0.5,**,2-2,35.0-37.3,37.2,456(+4),, ,(クリムズンフラッグ),500.0
2017/10/15,3新潟2,曇,1,2歳未勝利,,15,2,3,10.8,4,3,柴田善臣,55,ダ1200,稍,**,1:13.4,0.2,**,2-2,35.2-38.0,38.0,452(+12),, ,ラフィングマッチ,130.0
2017/07/22,3中京7,晴,1,2歳未勝利,,15,5,9,26.5,8,5,荻野極,52,ダ1200,良,**,1:14.5,1.9,**,5-5,35.6-37.0,38.4,440(0),,,ドンフォルティス,50.0
2017/07/08,3中京3,晴,6,2歳新馬,,16,6,12,31.8,8,9,荻野極,52,ダ1400,良,**,1:29.2,3.4,**,6-6,35.2-38.7,41.3,440(0),, ,マイネルオスカル, 
日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2018/02/01,名古屋,曇,9,ガーデンふ頭賞, ,10,8,9,34.5,8,8,加藤聡一,54,ダ1600,稍,**,1:48.1,1.3,**,8-8-10, ,41.1,446(-1), , ,レモンホープ, 
2018/01/17,名古屋,雨,6,B7組, ,10,7,7,34.9,5,6,加藤聡一,54,ダ1400,重,**,1:32.7,1.7,**,5-4-5, ,40.3,447(+1), , ,ハルヲヨブオンナ, 
2018/01/03,名古屋,晴,10,戌年賞, ,8,3,3,41.8,6,8,加藤聡一,54,ダ1600,重,**,1:49.5,2.5,**,6-5-6, ,42.9,446(+6), , ,ヴィエントゴールド, 
2017/12/21,名古屋,晴,12,B6組, ,10,8,10,34.5,7,4,加藤聡一,54,ダ1400,良,**,1:32.5,0.5,**,3-4-5, ,39.5,440(-4), , ,サンマルオーロラ,1.3
2017/12/14,名古屋,晴,12,いろは橋賞, ,11,4,4,185.8,8,7,加藤聡一,54,ダ1600,良,**,1:46.9,1.9,**,6-6-7, ,41.6,444(+7), , ,アイファーヴリル, 
2017/11/30,名古屋,晴,10,中川運河賞, ,11,1,1,81.8,9,5,大畑雅章,54,ダ1600,稍,**,1:45.2,0.8,**,4-6-5, ,40.3,437(-1), , ,キリキリマイヒメ,0.9
2017/11/15,名古屋,晴,8,B5組, ,9,8,8,58.5,7,6,加藤誓二,54,ダ1600,重,**,1:46.3,1.4,**,4-4-5, ,42.6,438(+4), , ,エクセルワールド, 
2017/11/01,名古屋,晴,10,B6組, ,9,8,8,122.0,8,5,加藤聡一,54,ダ1400,稍,**,1:31.6,2.3,**,7-7-7, ,39.7,434(-6), , ,オーゴンワンダー,0.9
2017/10/26,名古屋,晴,11,くるみ賞, ,11,4,4,71.5,8,8,加藤誓二,54,ダ1600,重,**,1:47.6,2.8,**,7-8-8, ,42.2,440(-2), , ,ワイズセレクション, 
2017/10/04,名古屋,晴,9,B6組, ,9,8,9,21.1,6,9,加藤誓二,54,ダ1600,重,**,1:49.2,3.8,**,8-9-9, ,41.2,442(+1), , ,アムロタイプ, 
2017/09/21,名古屋,晴,12,アキアカネ賞, ,8,4,4,23.0,4,3,加藤聡一,54,ダ1600,稍,**,1:46.9,1.7,**,4-4-4, ,39.7,441(-1), , ,レシタルウォース,2.2
2017/09/06,名古屋,曇,7,円遊会競馬部安藤邦彦, ,8,3,3,12.7,4,2,加藤聡一,54,ダ1600,重,**,1:48.4,2.8,**,4-4-3, ,42.6,442(+3), , ,アイオシルケン,5.5
2017/08/24,名古屋,晴,12,打ち水賞, ,9,8,8,102.1,7,6,加藤聡一,54,ダ1600,良,**,1:47.8,2.4,**,7-8-8, ,41.3,439(-1), , ,ロイヤルアスカ, 
2017/08/10,名古屋,晴,10,入道雲賞, ,9,8,9,47.7,8,4,加藤誓二,54,ダ1400,良,**,1:32.5,1.9,**,3-3-2, ,41.1,440(-2), , ,グレートヒット,1.3
2017/07/26,名古屋,晴,8,サラB5組, ,8,7,7,11.3,4,7,加藤誓二,54,ダ1400,良,**,1:33.1,2.1,**,4-5-7, ,40.6,442(-1), , ,ゴールドサミット, 
2017/07/06,名古屋,晴,9,サラB8組, ,9,8,8,59.8,8,2,加藤聡一,54,ダ1400,稍,**,1:32.0,0.4,**,6-4-1, ,39.5,443(0), , ,トータルビクトリー,5.5
2017/06/22,名古屋,晴,12,たけのこ賞, ,9,8,9,34.3,7,7,加藤聡一,54,ダ1400,重,**,1:34.2,1.7,**,6-4-6, ,40.7,443(+1), , ,メガミチャン, 
2017/06/07,名古屋,雨,6,サラB6組, ,8,7,7,9.5,4,4,加藤聡一,54,ダ1600,稍,**,1:47.4,0.9,**,5-5-5, ,41.1,442(-2), , ,スイートアリッサム,1.3
2017/05/24,名古屋,曇,6,サラB6組, ,9,8,9,8.7,5,7,加藤聡一,53,ダ1600,良,**,1:47.1,1.6,**,2-2-3, ,41.2,444(-5), , ,タイセイドライヴ, 
2017/05/17,名古屋,曇,8,サラB5組, ,9,1,1,123.6,8,5,加藤聡一,53,ダ1600,良,**,1:47.0,1.6,**,6-6-6, ,39.9,449(+4), , ,アスターオーシャン,0.9
2017/05/02,名古屋,晴,8,サラB4組, ,9,5,5,36.2,6,5,加藤誓二,54,ダ1600,良,**,1:47.0,0.8,**,2-3-5, ,41.2,445(+2), , ,ボールドハート,0.9
2017/04/19,名古屋,晴,5,サラB5組, ,8,8,8,34.7,5,6,加藤聡一,53,ダ1400,重,**,1:34.6,1.8,**,5-6-7, ,40.9,443(-2), , ,クロスアンジュ, 
2017/04/13,名古屋,晴,12,春にんじん賞, ,9,1,1,27.3,4,5,加藤聡一,53,ダ1400,稍,**,1:32.6,1.1,**,4-4-5, ,41.5,445(-4), , ,カルシャン,0.9
2017/03/29,名古屋,晴,7,第5回高須シヅ記念杯, ,9,4,4,43.1,6,3,加藤聡一,53,ダ1400,稍,**,1:33.4,0.6,**,3-4-4, ,40.5,449(+6), , ,ウォーターエイト,1.8
2017/03/14,名古屋,曇,8,サラB5組, ,8,2,2,8.7,3,5,加藤聡一,53,ダ1400,良,**,1:32.7,1.8,**,3-4-5, ,40.4,443(-4), , ,マイネルカリスト,0.8
2017/03/01,名古屋,晴,8,サラB6組, ,9,3,3,13.4,5,2,加藤聡一,53,ダ1600,良,**,1:47.7,0.6,**,3-3-4, ,40.3,447(+1), , ,マズルファイヤー,3.6
2017/02/14,名古屋,晴,6,サラB6組, ,8,4,4,131.4,7,2,加藤聡一,53,ダ1600,稍,**,1:47.9,0.5,**,4-4-4, ,39.4,446(+2), , ,レアルタ,3.6
2017/02/01,名古屋,曇,7,サラB5組, ,8,2,2,9.1,5,6,加藤聡一,53,ダ1600,稍,**,1:48.3,1.2,**,6-8-8, ,41.6,444(-2), , ,ロックガール, 
2017/01/18,名古屋,晴,9,寒造り賞, ,8,2,2,24.3,4,6,加藤聡一,53,ダ1600,稍,**,1:48.0,0.8,**,5-4-5, ,40.3,446(+8), , ,メイショウコルシカ, 
2017/01/01,名古屋,晴,9,サラB4組, ,9,5,5,57.3,6,6,加藤聡一,53,ダ1600,良,**,1:47.1,1.9,**,7-7-6, ,40.7,438(-3), , ,ジェイエルフリート, 
2016/12/20,名古屋,曇,10,東海橋賞, ,9,3,3,23.4,5,6,大畑雅章,54,ダ1400,稍,**,1:31.9,2.1,**,6-4-4, ,39.3,441(+3), , ,トーホウハンター, 
2016/12/14,名古屋,晴,9,サラB5組, ,9,8,8,30.4,5,5,加藤聡一,53,ダ1400,不,**,1:32.3,1.1,**,3-3-3, ,39.9,438(+6), , ,ウォーターディル,0.8
2016/11/28,名古屋,晴,10,オリオン座特別, ,8,6,6,95.1,7,8,加藤聡一,53,ダ1600,重,**,1:47.3,3.3,**,7-8-8, ,42.0,432(-2), , ,キクノサージ, 
2016/11/17,名古屋,晴,8,サラB8組, ,9,8,9,2.8,2,1,加藤聡一,52,ダ1400,稍,**,1:31.4,-0.5,**,1-1-1, ,40.0,434(+4), , ,(クリアザコースト),18.0
2016/11/04,名古屋,晴,10,栗きんとん賞, ,8,4,4,4.1,2,2,大畑雅章,54,ダ1400,良,**,1:31.3,0.8,**,2-4-3, ,39.0,430(-2), , ,ダンスオーレ,3.6
2016/10/19,名古屋,晴,7,サラB7組, ,9,1,1,8.3,3,3,加藤聡一,52,ダ1600,稍,**,1:46.1,0.8,**,5-5-5, ,39.5,432(-1), , ,ナタリー,1.8
2016/10/06,名古屋,晴,12,カボチャ賞, ,10,1,1,4.2,2,3,加藤聡一,52,ダ1600,稍,**,1:45.8,0.5,**,4-3-5, ,41.6,433(-1), , ,マタンギ,1.8
2016/09/22,名古屋,曇,9,月見特別, ,10,7,7,39.2,8,2,加藤聡一,52,ダ1400,不,**,1:31.6,0.2,**,2-2-2, ,39.0,434(-2), , ,アンリエット,7.0
2016/09/01,名古屋,晴,8,サラB8組, ,9,8,8,7.2,3,6,加藤聡一,52,ダ1600,良,**,1:47.7,2.7,**,4-3-5, ,41.3,436(+5), , ,ネオヴァルカス, 
2016/08/24,名古屋,曇,7,サラC2組, ,9,7,7,13.1,4,1,加藤聡一,52,ダ1400,重,**,1:31.9,0.0,**,5-5-2, ,39.8,431(+4), , ,(ブラックシェンロン),19.0
2016/08/05,名古屋,晴,11,さるすべり特別, ,10,5,5,13.5,5,5,加藤聡一,52,ダ1600,良,**,1:47.5,1.2,**,7-8-7, ,40.1,427(-5), , ,アテッサ,1.0
2016/07/21,名古屋,晴,7,サラC6組, ,9,2,2,1.7,1,2,加藤聡一,51,ダ1400,良,**,1:33.8,0.0,**,3-4-3, ,41.2,432(+4), , ,グランポルトス,3.4
2016/07/07,名古屋,晴,10,第3戦シルバーブーツ, ,12,8,12,71.5,11,9,山本聡哉,54,ダ1400,良,**,1:32.8,2.1,**,7-7-11, ,41.9,428(+2), , ,メイショウコルシカ, 
2016/06/24,名古屋,小雨,7,アヤ誕生日おめでとう, ,9,4,4,5.1,3,4,加藤聡一,51,ダ1400,稍,**,1:33.4,1.8,**,4-4-4, ,41.5,426(-4), , ,インシグニスブルー,1.1
2016/06/09,名古屋,曇,7,サラC8組, ,9,3,3,1.6,1,2,加藤聡一,51,ダ1400,稍,**,1:33.0,0.6,**,2-2-1, ,40.5,430(0), , ,バトルシュプリーズ,3.4
2016/05/27,名古屋,晴,12,あじさい特別, ,10,8,9,3.9,2,6,加藤聡一,52,ダ1600,良,**,1:48.8,3.2,**,5-6-6, ,42.9,430(-8), , ,ヒルノケルン, 
2016/05/20,名古屋,晴,11,れんげ特別, ,10,7,7,20.2,4,1,加藤聡一,51,ダ1400,良,**,1:31.6,0.0,**,2-2-2, ,39.3,438(+1), , ,(デルマヨッチャン),25.0
2016/05/04,名古屋,晴,4,真輝・奈緒美結婚おめ, ,8,8,8,2.3,1,1,加藤聡一,51,ダ1400,重,**,1:33.3,-0.1,**,2-2-2, ,41.8,437(0), , ,(ネオヴィーヴ),17.0
2016/04/28,笠松,雨,8,青葉賞, ,8,8,8,1.1,1,1,加藤聡一,51,ダ1400,不,**,1:31.9,-2.1,**,1-1-1, ,38.3,437(0), , ,(オーサムレディ),17.0
2016/04/20,名古屋,晴,2,サラC15組, ,8,2,2,2.3,1,2,大畑雅章,54,ダ1400,良,**,1:33.1,0.0,**,5-4-4, ,40.4,437(+6), , ,ミスハクホウ,3.4
2016/04/07,名古屋,雨,4,サラC16組, ,8,7,7,7.7,3,2,山田祥雄,54,ダ1400,不,**,1:34.1,0.5,**,5-3-1, ,40.9,431(-2), , ,サカエダビクトリー,3.4
2016/03/29,名古屋,晴,4,サラC17組, ,8,4,4,5.7,3,3,山田祥雄,54,ダ800,良,**,0:51.4,1.4,**,4, ,37.5,433(+4), , ,スズカプリウス,1.1
2016/03/14,名古屋,雨,7,サラC21組, ,9,4,4,2.0,2,3,山田祥雄,54,ダ1400,不,**,1:34.5,0.3,**,3-3-3, ,41.7,429(-1), , ,ティーエスブラック,1.1
2016/03/02,名古屋,晴,3,サラC16組, ,7,6,6,38.5,4,中,山田祥雄,54,ダ1400,良,**, , ,**, , , ,430(-2), , ,スズカファイン, 
2016/02/24,笠松,晴,3,2016朝光・楓真誕, ,9,3,3,5.6,3,2,大畑雅章,54,ダ1400,良,**,1:30.5,0.8,**,4-4-3, ,38.5,432(+2), , ,ウォーターウェイ,3.2
2016/02/17,名古屋,晴,3,サラC14組, ,8,5,5,56.9,5,3,山田祥雄,54,ダ1400,稍,**,1:32.5,0.3,**,1-1-1, ,40.0,430(-1), , ,エンパイアルーラー,1.1
2016/02/02,名古屋,晴,8,サラC18組, ,9,2,2,36.6,6,4,山田祥雄,54,ダ1400,稍,**,1:34.0,1.5,**,1-1-1, ,41.7,431(-3), , ,キタノキャンパス,0.8
2016/01/18,名古屋,晴,7,サラC24組, ,9,7,7,8.3,2,2,大畑雅章,54,ダ1400,重,**,1:34.2,0.2,**,2-2-3, ,41.3,434(0), , ,ドリームユニバンス,2.9
2016/01/02,名古屋,曇,4,サラC15組, ,8,5,5,65.7,6,6,山田祥雄,54,ダ1400,良,**,1:35.3,2.8,**,4-6-6, ,43.1,434(-3), , ,モズドゥーチェ, 
2015/12/23,名古屋,曇,1,金シャチけいば応援記, ,9,1,1,28.2,4,4,大畑雅章,54,ダ800,稍,**,0:51.7,0.5,**,3, ,37.9,437(+3), , ,ネコハッピー,0.8
2015/12/09,名古屋,晴,3,サラC17組, ,9,6,6,90.5,7,4,山田祥雄,54,ダ1400,良,**,1:33.5,2.2,**,4-4-3, ,41.4,434(+10), , ,オンワードハドソン,0.8
2015/12/02,名古屋,晴,4,サラC18組, ,8,3,3,13.9,4,4,大畑雅章,54,ダ1400,良,**,1:33.5,0.9,**,2-2-3, ,39.7,424(-8), , ,スルーオベスト,0.8
2015/11/18,名古屋,雨,4,サラC18組, ,9,2,2,44.6,5,4,今井貴大,54,ダ1400,重,**,1:33.3,0.9,**,5-4-4, ,40.6,432(+3), , ,ネコハッピー,0.8
2015/11/02,名古屋,曇,7,サラC8組, ,9,8,8,13.4,2,3,大畑雅章,54,ダ1400,重,**,1:33.3,3.1,**,2-3-3, ,41.1,429(-1), , ,トーホウハンター,1.1
2015/10/21,名古屋,晴,1,サラ3歳9組, ,9,1,1,8.6,2,5,山田祥雄,54,ダ1400,良,**,1:34.0,2.0,**,1-1-2, ,41.6,430(+3), , ,ヴェスペルティリオ, 
2015/10/07,名古屋,晴,2,サラ3歳9組, ,8,5,5,4.2,2,5,山田祥雄,54,ダ1400,良,**,1:34.3,0.5,**,2-2-2, ,42.4,427(-5), , ,ラグロワール, 
2015/09/25,名古屋,雨,1,サラ3歳8組, ,8,5,5,5.9,4,6,大畑雅章,54,ダ800,重,**,0:51.9,1.7,**,4, ,38.0,432(+2), , ,スマートファニー, 
2015/09/10,名古屋,晴,1,サラ3歳12組, ,8,7,7,4.4,2,1,大畑雅章,54,ダ1400,重,**,1:32.3,-0.3,**,2-2-1, ,40.4,430(+9), , ,(メイショウコルシカ),22.5
2015/08/31,名古屋,曇,5,サラ3歳12組, ,9,8,10,6.2,3,2,大畑雅章,54,ダ1400,重,**,1:32.1,0.8,**,3-3-2, ,40.3,421(-3), , ,コスモサンズサン,4.1
2015/08/21,名古屋,曇,2,サラ3歳14組, ,8,7,7,3.3,2,3,大畑雅章,54,ダ1400,不,**,1:33.0,1.1,**,3-3-3, ,41.5,424(+6), , ,エアリーチューン,1.6
2015/07/18,3中京5,曇,3,3歳未勝利,,16,5,9,210.2,13,13,松山弘平,54,ダ1800,不,**,1:57.8,4.0,**,2-2-2-2,37.2-38.1,42.0,418(-2),, ,オイルタウン, 
2015/06/27,3阪神7,曇,6,3歳未勝利,,18,7,13,262.6,18,11,義英真,51,芝1800,稍,**,1:51.4,1.4,**,1-2,35.3-36.3,37.7,420(-6),, ,ジョーアラタ, 
2015/03/28,2中京5,晴,1,3歳未勝利,,16,2,4,207.6,15,11,鮫島克駿,51,ダ1800,良,**,2:00.1,1.8,**,5-5-4-4,38.4-38.4,39.9,426(+8),, ,タマノベレッツァ, 
2015/02/22,1小倉6,雨,4,3歳未勝利,,18,3,6,347.1,18,10,中井裕二,53,芝2000,重,**,2:06.4,2.7,**,18-18-18-18,36.3-37.2,37.0,418(0),, ,レッドソロモン, 
2015/02/08,1小倉2,晴,4,3歳未勝利,,16,1,2,402.9,16,14,中井裕二,53,芝1800,良,**,1:50.9,2.0,**,16-16-9-11,35.3-36.2,36.8,418(-8),, ,ジャストフォーユー, 
2015/01/17,1中京1,曇,1,3歳未勝利,,16,5,10,162.3,15,11,城戸義政,51,ダ1800,重,**,2:00.4,3.6,**,15-15-13-13,39.9-37.9,40.1,426(+6),, ,ブルースブレイカー, 
2014/12/14,4中京4,晴,1,2歳未勝利,,16,7,13,251.1,15,14,城戸義政,51,ダ1800,良,**,2:00.2,3.1,**,16-16-16-16,39.2-38.1,38.8,420(-2),, ,サージェントバッジ, 
2014/11/24,5京都7,晴,5,2歳新馬,,18,3,6,188.8,18,12,城戸義政,51,芝1400,良,**,1:23.8,1.5,**,11-13,35.2-35.4,35.4,422(0),,,コンテッサトゥーレ, 
日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2018/01/20,1中山6,曇,10,東雲賞(1000万下),,13,3,3,2.0,1,1,内田博幸,54,芝1600,良,**,1:34.6,0.0,**,2-3-4,36.1-35.0,34.7,500(+2),, ,(ショウナンアンセム),"1,530.8"
