日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2017/11/01,門別,雨,8,白樺特別, ,8,4,4,1.9,1,2,桑村真明,56,ダ1200,不,**,1:13.0,0.4,**,1-1, ,38.4,536(+12), , ,メーター,7.0
2017/10/11,門別,雨,9,ビヤパーティーAib, ,8,1,1,1.7,1,1,桑村真明,56,ダ1200,重,**,1:14.6,-0.9,**,4-3, ,38.9,524(-8), , ,(シーイズアレディ),30.0
2017/09/28,門別,曇,11,JAにいかっぷピーマ, ,9,5,5,1.1,1,3,石川倭,56,ダ1200,不,**,1:13.0,0.3,**,1-1, ,38.1,532(0), , ,エンジェルヘイロウ,4.5
2017/09/13,門別,晴,7,ホクレンパールライス, ,8,8,8,1.7,1,2,石川倭,56,ダ1200,重,**,1:12.9,0.2,**,1-1, ,37.4,532(+6), , ,キミノタイヨウ,6.0
2017/07/15,3中京5,晴,3,3歳未勝利,,16,3,5,3.7,2,6,松若風馬,56,ダ1200,良,**,1:13.3,1.6,**,3-4,34.3-37.4,38.3,526(+2),, ,アサケパワー, 
2017/06/17,3阪神5,晴,3,3歳未勝利,,16,7,14,70.3,12,2,松若風馬,56,ダ1200,良,**,1:13.0,0.1,**,3-3,35.2-37.7,37.5,524(-4),, ,ウィッシュノート,200.0
2017/02/18,2京都7,曇,4,3歳新馬,,16,3,6,13.9,6,9,石橋脩,56,ダ1800,稍,**,1:57.6,3.1,**,2-2-7-7,37.3-37.7,40.3,528(0),, ,アスターゴールド, 
日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2017/12/31,大井,曇,12,おおとりオープン競走(OP), ,12,1,1, , ,除,石崎駿,57,ダ1600,良,**, , ,**, ,37.9-37.5, ,521(+6), , ,ブルドッグボス, 
2017/11/15,大井,晴,11,マイルグランプリ競走(OP), ,16,1,1,25.3,7,13,石崎駿,57,ダ1600,良,**,1:43.5,2.8,**,1-1-1-1,37.6-38.3,41.1,515(+7), , ,セイスコーピオン, 
2017/03/14,船橋,曇,11,柏の葉OP(OP), ,11,5,5, , ,取,石崎駿,58,ダ1600,稍,**, , ,**, ,38.0-40.4, ,計不, , ,オメガスカイツリー, 
2016/09/15,浦和,曇,11,テレ玉杯オーバルスプ(G3), ,12,8,12,87.9,7,3,石崎駿,54,ダ1400,重,**,1:26.3,0.5,**,2-2-2-2,35.3-38.1,38.6,508(-2), , ,レーザーバレット,420.0
2016/08/24,川崎,晴,11,スパーキングサマーカ(OP), ,13,6,9,2.0,1,4,石崎駿,56,ダ1600,重,**,1:42.9,0.8,**,2-2-2-2,37.2-39.4,40.0,510(+9), , ,ブルーチッパー,120.0
2016/06/22,船橋,曇,11,京成盃グランドマイラ(OP), ,14,5,7,5.8,3,1,石崎駿,56,ダ1600,重,**,1:39.7,-0.5,**,1-1-1-1,35.9-39.0,39.0,501(-3), , ,(プリンセスバリュー),"1,000.0"
2016/05/25,川崎,曇,11,川崎マイラーズ(OP), ,11,8,11,4.5,3,2,石崎駿,57,ダ1600,良,**,1:41.9,0.1,**,1-1-1-1,37.2-39.4,39.5,504(-4), , ,モンサンカノープス,420.0
2016/04/29,浦和,晴,11,卯月特別(OP), ,11,8,10,1.2,1,1,石崎駿,57,ダ1500,稍,**,1:35.4,-0.2,**,2-2-2-1,29.6-40.2,40.2,508(+2), , ,(ゴーオン),600.0
2016/03/15,大井,晴,11,隅田川オープン競走(OP), ,11,6,6,1.7,1,2,石崎駿,54,ダ1600,不,**,1:41.0,0.2,**,1-1-1-1,37.7-39.1,39.3,506(-3), , ,テムジン,162.0
2016/02/18,船橋,晴,11,駿麗賞, ,13,6,9,1.6,1,1,石崎駿,57,ダ1600,重,**,1:41.2,-0.9,**,1-1-1-1,37.3-39.2,39.2,509(+2), , ,(ジャジャンケン),500.0
2016/01/28,川崎,晴,11,多摩川オープン[地方(OP), ,9,4,4,2.7,2,1,石崎駿,55,ダ1600,良,**,1:41.9,-0.4,**,1-1-1-1,38.0-38.4,38.4,507(+1), , ,(トーセンアドミラル),500.0
2015/12/22,浦和,晴,11,ゴールドC(OP), ,12,5,6,3.3,2,8,石崎駿,56,ダ1500,良,**,1:35.7,2.5,**,2-2-2-3,29.8-38.3,40.6,506(-1), , ,ソルテ, 
2015/12/01,浦和,晴,10,まがたま賞, ,12,1,1,2.1,1,1,石崎駿,57,ダ1500,良,**,1:33.8,-0.5,**,3-3-3-3,30.3-39.1,38.7,507(+7), , ,(マサヤ),500.0
