日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2018/01/07,1京都2,曇,8,4歳上500万下,,16,5,9,7.9,4,4,北村友一,56,芝2200,良,**,2:14.1,0.2,**,11-11-12-11,36.7-36.4,34.6,492(+4),, ,アインザッツ,110.0
2017/12/10,5阪神4,晴,7,3歳上500万下,,10,6,6,2.9,2,4,ルメール,56,ダ1800,良,**,1:54.2,0.3,**,6-6-7-7,37.9-37.2,36.8,488(+2),, ,キングジュエリー,110.0
2017/11/18,5京都5,曇,7,3歳上500万下,,16,2,4,2.9,1,11,四位洋文,55,ダ1800,重,**,1:51.5,1.7,**,16-16-15-16,35.7-37.5,37.4,486(+2),,,ドライバーズハイ, 
2017/10/22,4京都7,雨,6,3歳上500万下,,12,8,12,3.4,1,5,四位洋文,55,ダ1900,不,**,1:58.2,0.5,**,4-5-4-3,29.8-37.8,37.8,484(+8),, ,メトロポリス,75.0
2017/08/05,2小倉3,晴,10,指宿特別(500万下),,16,3,6,3.2,2,2,浜中俊,54,ダ1700,良,**,1:46.5,0.4,**,8-9-7-6,30.6-37.9,37.8,476(-4),, ,ナムラミラクル,432.8
2017/07/16,3中京6,晴,8,3歳上500万下,,16,7,13,4.6,2,3,松山弘平,54,ダ1800,良,**,1:52.4,0.7,**,9-9-8-8,37.2-37.4,37.3,480(-2),, ,ディープオーパス,190.0
2017/07/02,3中京2,雨,12,3歳上500万下,,16,1,1,6.9,3,4,武豊,54,ダ1900,稍,**,1:59.9,0.9,**,8-8-11-11,30.0-38.6,38.5,482(+4),, ,カルムパシオン,110.0
2017/04/09,2阪神6,曇,5,3歳500万下,,15,6,10,5.6,3,2,四位洋文,56,ダ1800,不,**,1:51.6,0.6,**,11-11-9-7,36.4-37.0,36.9,478(-12),,,タガノアンピール,290.0
2017/02/19,2京都8,晴,3,3歳未勝利,,16,6,11,2.9,1,1,四位洋文,56,ダ1800,稍,**,1:53.7,-0.3,**,10-10-6-4,36.5-38.4,37.6,490(+8),,,(サンライズカラマ),500.0
2016/10/30,4京都9,晴,5,2歳新馬,,11,3,3,4.2,3,2,浜中俊,55,芝1800,良,**,1:50.6,0.0,**,6-6,38.2-34.7,34.2,482(0),, ,アンセム,280.0
日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2008/07/29,園田,雨,5,B3二　3歳以上, ,6,6,6,3.6,3,6,松平幸秀,54,ダ1700,重, ,1:52.9,0.8, ,6-6-6-6, ,38.0,473(-3), , ,チャーミーエリ, 
2008/06/20,名古屋,曇,5,サラC4組, ,10,1,1,4.3,2,2,吉田稔,54,ダ1400,良, ,1:30.6,0.1, ,4-4-3, , ,476(0), , ,トーホウマリン,4.4
2008/05/23,名古屋,晴,4,サラC4組, ,10,2,2,7.9,3,6,倉地学,54,ダ800,良, ,0:50.8,1.5, ,6, , ,476(+11), , ,マンリョウキラリ, 
2008/05/09,名古屋,曇,6,サラC4組, ,10,8,9,1.4,1,7,倉地学,54,ダ800,良, ,0:51.1,1.0, ,7, , ,465(-12), , ,タイショウロマン, 
2008/05/02,名古屋,曇,7,成田正充還暦祝い, ,10,8,10,1.3,1,2,倉地学,54,ダ1300,良, ,1:25.2,0.1, ,3-3-3, , ,477(+4), , ,シャッセ,4.4
2008/04/18,名古屋,雨,5,サラC4組, ,10,1,1,4.6,2,2,吉田稔,54,ダ1400,不, ,1:29.6,0.5, ,1-1-1, , ,473(0), , ,テキサスイーグル,4.4
2008/04/10,名古屋,曇,8,祝・一成&宏美ウェデ, ,10,8,10,1.2,1,1,吉田稔,54,ダ1400,不, ,1:30.3,-0.5, ,3-3-2, , ,473(+1), , ,(ノースコム),17.0
2008/03/26,名古屋,晴,8,ふらんす食堂ここりこ, ,10,7,7,1.7,1,1,吉田稔,54,ダ1400,良, ,1:31.2,-0.3, ,2-2-2, , ,472(-10), , ,(トップジョー),17.0
