

ダイアトニック,ロードカナロア,トゥハーモニー
ダイアナヘイロー,キングヘイロー,ヤマカツセイレーン
ダイイチターミナル,コンデュイット(IRE),ベルグチケット
ダイイチリュウ,キングヘイロー,フルーリー(UAE)
ダイエーカチドキ,スターリングローズ,ガッテンマリー
タイガーアイ,ヨハネスブルグ(USA),シンティー(IRE)
タイガーヴェロス,カジノドライヴ(USA),キミニアエタキセキ
タイガーヴォーグ,ダイワメジャー,メイマドンナ
タイガーオスカー,フサイチリシャール,カンファーピュア
タイガークラウン,バゴ(FR),フレンドリーステラ
タイガートゥーレ,キャプテントゥーレ,コンフィデンシャル
タイガーハウス,オルフェーヴル,ピサノジュバン
タイガーバローズ,アグネスデジタル(USA),レディーロックフォード(IRE)
タイガーボス,カンパニー,レディアレグレット(GB)
タイキ,ゼンノロブロイ,ヒシバラード(USA)
タイキオールブルー,サウスヴィグラス(USA),リープリッヒ
タイキグランツ,ヨハネスブルグ(USA),タイキトゥインクル
タイキサターン,タイキシャトル(USA),マロノヴィーナス
タイキダイヤモンド,ヴァーミリアン,タイキバラード
ダイキチ,ダイワレイダース,ルリイロノチキュウ(USA)
タイキパラドックス,タイムパラドックス,タイキマフィン(USA)
タイキビルダー,エンパイアメーカー(USA),タイキトゥインクル
タイキフェルヴール,フリオーソ,アッシュベリー
タイキブリジャール,ディープブリランテ,タイキフェアレディ
タイキフロンティア,スペシャルウィーク,タイキガイア(USA)
タイキメサイア,ハードスパン(USA),タイキエイワン
ダイギャクテン,カネヒキリ,ウェルカムキャット
タイキラトナンジュ,アドマイヤオーラ,タイキルビー(USA)
タイキラメール,ゴールドアリュール,タイキアンジェリカ
タイキリアリティ,パイロ(USA),リープリッヒ
ダイキリシマ,メイショウボーラー,プラチナム
タイキレガトゥス,クロフネ(USA),タイキトゥインクル
タイキワンダー,グラスワンダー(USA),マロノヴィーナス
ダイコウキ,スタチューオブリバティ(USA),ホウライサンデー
ダイコウホウ,ブラックタイド,リヴァーカフェ(USA)
ダイゴキンリュウ,プリサイスエンド(USA),プレミアムショール
ダイゴコクリュウ,プリサイスエンド(USA),キョウコマチ
ダイゴマサムネ,アグネスデジタル(USA),キョウコマチ
ダイゴリュウ,エイシンフラッシュ,グッドルッキング
タイザンホクト,スタチューオブリバティ(USA),フィールソーナイス
タイジェン,ヴィクトワールピサ,シャンクシー(USA)
ダイシゴーゴー,ヴァーミリアン,アレグリアス
タイシロンマッハ,カジノドライヴ(USA),デゴッドドーター(USA)
ダイシンアレッタ,ドリームジャーニー,ダイシンシルビア(USA)
ダイシンウィン,クロフネ(USA),マンボカーニバル(USA)
ダイシンカイ,ヘニーヒューズ(USA),クィーンオブキネマ
ダイシンカレラ,キンシャサノキセキ(AUS),ダイシンシルビア(USA)
ダイシンカローリ,ゴールドアリュール,ヨウヨウ
ダイシンクイント,ルーラーシップ,ダイシンキャンディ
ダイシングレート,キングヘイロー,ダイシンマジック
ダイシンクワトロ,ダイシングロウ,ダイシンシルビア(USA)
ダイシンサクセス,ハーツクライ,マドモアゼルシッシ(IRE)
ダイシンサンダー,アドマイヤムーン,イチゴイチエ
ダイシンステルラ,ダイシンオレンジ,ダイシンモード
ダイシンソルス,ダイシンオレンジ,ダイシンパーティー
ダイシンバルカン,サクラバクシンオー,ダイシンモード
ダイシンフォルテ,キングズベスト(USA),ハッピーマキシマム
ダイシンマナ,ダイシンプラン,ダイシンキャンディ
ダイシンロイ,ゼンノロブロイ,ダイシンパーティー
タイセイアピール,ダイワメジャー,グリッターズ(USA)
タイセイアプローズ,ハーツクライ,スターフェスタ
タイセイアベニール,ベーカバド(FR),ハロードリーム
タイセイエクシード,エイシンフラッシュ,クリアーパス(USA)
タイセイエクレール,ベーカバド(FR),クリスビーナス
タイセイエナジー,ゼンノロブロイ,アールヌーヴォー
タイセイエピローグ,スクリーンヒーロー,フェアリーテールタイム(USA)
タイセイエルピス,エスポワールシチー,ホープフルドリーム
タイセイオーシャン,ハイアーゲーム,ダイコーマリーン
タイセイカレッジ,ブラックタイド,フロントタック
タイセイキセキ,キンシャサノキセキ(AUS),スイートプラド(USA)
タイセイキーマン,ジャングルポケット,カスタラナ(IRE)
タイセイグランツ,ハーツクライ,ミッキーパール
タイセイゴーディー,ゴールドヘイロー,キヌガサローズ
タイセイサウザー,タイムパラドックス,タイセイルンバ
タイセイサニー,ディープスカイ,キャントセイワーズ
タイセイサミット,ダイワメジャー,ヴァインドレッサー
タイセイサルート,ゼンノロブロイ,ハローオンザヒル
タイセイスターリー,マンハッタンカフェ,スターアイル(IRE)
タイセイステラ,ゼンノロブロイ,スターフェスタ
タイセイストリーク,ケイムホーム(USA),シルクアウローラ
タイセイストーム,スタチューオブリバティ(USA),スベトラーナ
タイセイスペリオル,ゴールドアリュール,スペシャルポケット
タイセイスマッシュ,スウェプトオーヴァーボード(USA),エリモエクレール
タイセイソニック,ディープブリランテ,ヴィエナトウショウ
タイセイターゲット,アンライバルド,ジュラン
タイセイドライヴ,カジノドライヴ(USA),ミスマーマレード
タイセイドリーム,ディープインパクト,モアザンベスト(USA)
タイセイトレイル,ハーツクライ,マザーウェル
タイセイトレンディ,ネオユニヴァース,ルナフェリーナ(USA)
タイセイパルサー,パイロ(USA),プリモレディ
タイセイパルフェ,ロードカナロア,マイネハッピー
タイセイバロン,エンパイアメーカー(USA),バランバ(GB)
タイセイバンデット,サウスヴィグラス(USA),ジャズカーニバル
タイセイビスタ,シンボリクリスエス(USA),マハービスタ
タイセイビビッド,ヴィクトワールピサ,リップスポイズン(GER)
タイセイファントム,ファンタスティックライト(USA),タイキシャレード(USA)
タイセイプライド,ヨハネスブルグ(USA),キャニオンリリー
タイセイブラスト,ファスリエフ(USA),キシュウウインド
タイセイフラム,ナカヤマフェスタ,ラジョワ(USA)
タイセイブリット,メイショウボーラー,レッドフィオーレ
タイセイプリマ,カネヒキリ,スマイルトゥゲザー
タイセイブルグ,ヨハネスブルグ(USA),シルヴァーグレイル(CAN)
タイセイプレシャス,プリサイスエンド(USA),クイーンオブハルカ
タイセイプレゼンス,プリサイスエンド(USA),バグワイザー(USA)
タイセイブレーク,ダイワメジャー,インプレスゴールド
タイセイプロスパー,プリサイスエンド(USA),タイセイプロバブル
タイセイホーネット,メイショウサムソン,ハニーハント
タイセイマジック,ダイワメジャー,スロットル(USA)
