

ユーセイスラッガー,ミリオンディスク,サンライズモミ
ユーセイラッキー,ナカヤマフェスタ,トシノヘクター
ユーデモニクス,ローレルゲレイロ,ウエスタンハピネス
ユーノテソーロ(IRE),Rip Van Winkle(IRE),Whirly Bird(GB)
ユーフォニアム,エンパイアメーカー(USA),グラスレビン
ユーフォニー,ダイワメジャー,ヴォルドニュイ(USA)
ユーフォルビア,エンパイアメーカー(USA),ディアアレトゥーサ
ユーミンナー,ハーツクライ,クルナコーヴァ(IRE)
ユーリトミクス,キングカメハメハ,リトミックダンス
ユールビーマイン,スマートボーイ,アコガレ(USA)
ユーロジャイズ,ネオユニヴァース,フォーティカラーズ
ユーロビート,スズカマンボ,メジロブルネット
