

ヤマニンフライハイ,ディープスカイ,ヤマニンザナドゥ
ヤマニンブラズーカ,ディープインパクト,ヤマニンシュクル
ヤマニンペダラーダ,ディープインパクト,ヤマニンエマイユ
ヤマニンヘリテージ,アドマイヤマックス,ヤマニンノーティス
ヤマニンベリンダ,キングズベスト(USA),マダニナ(IRE)
ヤマニンベルベーヌ,ロージズインメイ(USA),ヤマニンラレーヌ
ヤマニンボアソルチ,カジノドライヴ(USA),ヤマニンアリーナ
ヤマニンボレアル,フサイチコンコルド,ヤマニンロータス
ヤマニンマデュロー,ローエングリン,ヤマニンスプラウト
ヤマニンマルキーザ,アドマイヤムーン,ヤマニンメルベイユ
ヤマニンマンドール,ストーミングホーム(GB),ヤマニンエマイユ
ヤマニンミネルバ,パイロ(USA),ヤマニンエリプス
ヤマニンミモレット,フレンチデピュティ(USA),ヤマニンアリュール
ヤマニンミレーレ,キングカメハメハ,ヤマニンドルチェ
ヤマニンリュウセイ,ステイゴールド,ヤマニンメルベイユ
ヤマニンリルストル,グラスワンダー(USA),ヤマニンプラシード
ヤマニンルサリー,タートルボウル(IRE),ヤマニンメルベイユ
ヤマニンルネッタ,アドマイヤムーン,アビシーナ(IRE)
ヤマニンルモンド,マンハッタンカフェ,ヤマニンティアモ
ヤマニンレガリーノ,ブラックタイド,ヤマニンギモーヴ
ヤマニンレジスタ,ストロングリターン,ヤマニンラレーヌ
ヤマニンレナータ,コンデュイット(IRE),ヤマニンドルチェ
ヤマニンレフルール,タニノギムレット,ヤマニングロワール
ヤマノアンジュ,ソングオブウインド,ニシノジャンヌ
ヤマノウィザード,ディープインパクト,ランフォザドリーム
ヤマノキセキ,ベーカバド(FR),ケイアイリード
ヤマノグラップル,ワークフォース(GB),マルカパール
ヤマノスプリンター,ディープスカイ,ミラクルプリンセス
ヤマノダイオー,マンハッタンカフェ,カーリア(USA)
ヤマノノンストップ,スウィフトカレント,エラボレーション
ヤマノヒマワリ,パイロ(USA),ダブルオベリスク
ヤマノファイト,エスポワールシチー,ケイアイリード
ヤマノプレミアム,ストロングリターン,ヤーマンミルフィー
ヤマノブロッサム,シンボリクリスエス(USA),オレンジティアラ
ヤマノブロンコ,ネオユニヴァース,アースグリーン(USA)
ヤマノミラクル,カンパニー,ケイアイリード
ヤマノラバーズ,スターリングローズ,サカモトサンデー
ヤマノリリコイ,アドマイヤムーン,ルミネンス
ヤマミダンス,ハーツクライ,キウィダンス(NZ)
ヤマミダンディー,アドマイヤコジーン,サクラミラージュ
ヤマヨバトルカムイ,ナスダックパワー,アバトルフジザクラ
ヤヨイフェアリー,ワイルドラッシュ(USA),ラスカーラ
ヤワタチャレンジ,アッミラーレ,ヤワタレインボー
ヤワタファースト,スズカマンボ,ヤワタレインボー
ヤンキーイズム,フレンチデピュティ(USA),ロスヴィータ
ヤンキーソヴリン(USA),Successful Appeal(USA),Yanquee Reign(USA)
ヤングマンパワー,スニッツェル(AUS),スナップショット
ヤンソンノユウワク,マルカシェンク,フラワーパス
ヤンチャボウズ,オンファイア,カレンナサクラ
ヤンベ,カネヒキリ,スエヒロサプライズ
