

イアハート,ヘニーヒューズ(USA),フェザーレイ
イアペトス,フォーティナイナーズサン(USA),プリンセスビコー
イイコトズクシ,キンシャサノキセキ(AUS),モットヒカリヲ
イイコトバカリ,エンパイアメーカー(USA),ワナ
イイゾ,ロードカナロア,ルリニガナ
イイデエクセレント,ネオユニヴァース,コンフィデンシャル
イイデシロ,ファルブラヴ(IRE),イイデサンドラ
イイデファイナル,サウスヴィグラス(USA),イイデサンドラ
イイデフューチャー,アドマイヤジャパン,パレガルニエ
イイデメモリー,ゴールドアリュール,パレガルニエ
イイナヅケ,ワークフォース(GB),カイゼリン
イイネー,メイショウボーラー,ガンバリッコ
イヴノオモイデ,ヨハネスブルグ(USA),プリンセスイブ
イヴレア,ローエングリン,サクラメガマックス
イエスウチダ,ハーツクライ,ケイアイリュージン
イエスオフコース,エクラヴァンクール,ウルビーノ
イエスペガサス,サンライズペガサス,イエスオアノー
イェッツト,カンパニー,イスタンブール
イェドプリオル,ヴァーミリアン,ビービーシグナス
イエローブレイヴ,プリサイスエンド(USA),ヘバラー(GB)
イエローマジック,スウェプトオーヴァーボード(USA),レインボーハート
イエローマリンバ,ディープインパクト,マーキーアトラクション(USA)
イエローマーカー,ヴァーミリアン,ジェイケイスキャン
イェーイ,ナカヤマフェスタ,キシャリ(FR)
イオタイザン,トランセンド,エーピーモモ
イオナズン,キングヘイロー,グリッタラーティ
イオラニ,キングカメハメハ,オークルーム
イカスゼクリチャン,アメリカンボス(USA),メディアプランナー
イカヅチ,ロジユニヴァース,エーシンパーティー(USA)
イキオイ,マツリダゴッホ,ユメノラッキー(USA)
イキナヤツ,ワイルドラッシュ(USA),モリトオウカ
イギーザフール,マルカシェンク,コールミークイーン
イクシア,キンシャサノキセキ(AUS),ルビア(USA)
イクスチェッカー,マツリダゴッホ,イクスキューズ
イグナイト,ワイルドラッシュ(USA),ステイトリー
イグナイトマインド,ワークフォース(GB),アドマイヤレッド
イグナシオ,ファルブラヴ(IRE),デザートレジーナ
イグナル,サンカルロ,ダービーズポケット
イグナーツ,ディープインパクト,ラフアウェイ
イクノチャン,トランセンド,ニシノコハク
イクミン,ストーミングホーム(GB),ブッチ
イクヨロブロイ,ゼンノロブロイ,ハーリカ
イクラトロ,パイロ(USA),グランプリオーロラ
イグレット(USA),Distorted Humor(USA),ヘヴンリーロマンス
イケノアサ,カジノドライヴ(USA),イケノナイン
イケノコスモス,トランセンド,イケノエメラルド
イケノコナン,トワイニング(USA),イケノエメラルド
イケノパシスタ,ブラックタイド,イケノナイン
イケハートジョイ,マイネルラヴ(USA),ボディラブ
イケマドンナ,スキャターザゴールド(CAN),イケソシアル
イザ,パイロ(USA),ミルトス
イザシュツジン,ダノンゴーゴー(USA),キリシマトップ
イサチルエース,ハードスパン(USA),マキノジョリエ
イサチルオリョウ,ゴールドヘイロー,アームズトウショウ
イサチルケイ,アグネスデジタル(USA),パールイアリング
イサチルダイチ,アドマイヤムーン,ヒシヴェリタス
イサチルホープ,アグネスデジタル(USA),メジロベツァーリ
イサチルリョウマ,ナカヤマフェスタ,メジロベツァーリ
イサチルルンルン,パイロ(USA),テンセイフジ
イザナイ,ホワイトマズル(GB),ファイヤーフレンチ
イザナミ,ステイゴールド,レト２(USA)
イザベルローズ,カジノドライヴ(USA),イザベルドスメーン
イサミアシ,ローズキングダム,フォールメドウ
イシイチャン,ダイワレイダース,エースハーバー
イシマツ,スウェプトオーヴァーボード(USA),スパイシーキティ
イシュタルサーガ,ヨハネスブルグ(USA),カネショウフェアー
イシュトヴァーン,ルーラーシップ,ドナウブルー
イスズイーグル,パイロ(USA),ノゾミカナエタマエ
イスズゴールド,ブラックタイド,プリンセスチャーム
イスズブライト,ヴァーミリアン,サンデープレゼント
イスタナ,ヴィクトワールピサ,エアレモネード(USA)
イストワールファム,ローエングリン,ヒストリックレディ
イズナ,ルーラーシップ,レストレスハート
イズミシンホニー,リーチザクラウン,セイウンバリュー
イズム,アッミラーレ,ミスホーチミン
イスモイルテソーロ,ヨハネスブルグ(USA),ヨウヨウ
イスラドラーダ,ダイワメジャー,イスラコジーン(USA)
イセベル,シンボリクリスエス(USA),ベルクラシック
イソエイゴールド,ゴールドヘイロー,リュウノマリーン
イソエイドラコ,ハイアーゲーム,ヒルノコマンダー
イソエイブリランテ,ディープブリランテ,フォレストビーナス
イソエイレインボー,スウェプトオーヴァーボード(USA),ミンナシアワセ
イソノアズサ,ロージズインメイ(USA),イソノキセキ
イソノヴィグラス,サウスヴィグラス(USA),イソノヴィーナス
イソノプレシャス,サクラプレジデント,ファストクリーク
イダエンペラー,ルーラーシップ,アドマイヤセラヴィ
イダクァイマ,ゴールドアリュール,アドマイヤヒラリー
イダス,スクリーンヒーロー,テンザンローズ
イダテン,タニノギムレット,オープンシャッセ
イダフェイマ,クロフネ(USA),ソングバード
イダペガサス,ゴールドアリュール,カロンセギュール(USA)
イタリアンホワイト,ステイゴールド,リリウム
イチザクイーン,タイキシャトル(USA),シャドーウィップ
イチザサムライ,サムライハート,テネシースワン(USA)
イチザティアラ,ネオユニヴァース,サンセットロード
イチザテイオー,ベーカバド(FR),トウカイウェーブ
イチザヒロイン,ファスリエフ(USA),グリーンプラネット
イチザビーナス,メイショウサムソン,サンセットロード
イチザヒーロー,ナイキアディライト,トワイライトガール
イチザプラチナ,メイショウボーラー,グリーンプラネット
イチザラブ,タイムパラドックス,リトルラブソング
イチジツセンリ,キングヘイロー,コーディング(GB)
イチダイ,シンボリクリスエス(USA),テンイムホウ
イチネンイチクミ,カジノドライヴ(USA),ハニーハント
イチネンサンクミ,サマーバード(USA),スイレン(USA)
イチネンセイ,アジュディミツオー,アーバンベルノ
イチネンプリンス,シニスターミニスター(USA),フミノアマゾン
イチノフリオーソ,フリオーソ,エレガントキャット
イチノボーラー,メイショウボーラー,リミッターブレイク
イチノユウキ,パイロ(USA),ミスティックラヴ
イチバンクジ,デュランダル,ファインメモリー
イチビリ,シックスセンス,ラヴォイラ(FR)
