日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2016/07/10,佐賀,曇,2,3歳ー10組, ,7,4,4,96.2,7,5,長田進仁,54,ダ1300,不,**,1:26.2,2.5,**,6-6-6-6, ,39.0,455(-3), , ,カシノミライ,0.5
2016/06/26,佐賀,曇,2,3歳ー9組, ,8,6,6,17.7,3,5,川島拓,54,ダ1300,不,**,1:25.7,2.5,**,8-8-6-5, ,38.7,458(+5), , ,グランデボーボー,0.5
2016/06/11,佐賀,曇,2,3歳ー10組, ,8,5,5,64.0,8,6,長田進仁,54,ダ1300,良,**,1:26.0,1.7,**,8-8-8-7, ,38.6,453(-1), , ,ビッグオーラ, 
2016/05/28,佐賀,曇,1,3歳ー9組, ,8,6,6,161.0,7,6,長田進仁,54,ダ1300,不,**,1:26.8,2.6,**,8-8-8-7, ,39.8,454(+1), , ,ダイメイホークス, 
2016/05/14,佐賀,晴,2,3歳ー9組, ,7,6,6,92.1,7,7,山下裕貴,54,ダ1300,良,**,1:27.7,2.2,**,7-7-6-7, ,39.7,453(-2), , ,イチザアイバー, 
2016/05/01,佐賀,晴,2,3歳ー8組, ,8,7,7,61.8,7,7,川島拓,54,ダ1300,良,**,1:27.4,2.9,**,8-8-8-7, ,39.7,455(+2), , ,ナガラダンサー, 
2016/04/17,佐賀,曇,2,3歳ー9組, ,7,4,4,24.2,5,5,川島拓,54,ダ1300,不,**,1:27.0,1.6,**,7-7-7-6, ,40.5,453(-4), , ,ダンツワイズ,0.5
2016/03/27,佐賀,晴,1,3歳ー10組, ,8,8,8,10.4,5,3,川島拓,54,ダ1300,良,**,1:27.7,1.7,**,6-6-6-5, ,40.2,457(+2), , ,ロバーストサンダー,1.1
2016/03/06,佐賀,曇,1,3歳ー9組, ,7,1,1,11.3,3,4,川島拓,54,ダ1300,良,**,1:27.9,2.3,**,5-5-5-4, ,41.3,455(-11), , ,ダンツビジター,0.8
2016/02/13,佐賀,雨,1,3歳ー7組, ,7,7,7,12.5,4,6,長田進仁,54,ダ1300,重,**,1:27.0,2.4,**,5-4-3-4, ,42.1,466(+20), , ,タケノスカーレット, 
2015/12/19,5中山5,晴,6,2歳新馬,,16,8,16,179.9,16,14,木幡初也,51,ダ1800,良,**,2:01.5,4.9,**,14-14-13-13,38.7-38.4,41.4,446(0),,,ブライトリビング, 
日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2017/12/27,金沢,雪,2,C2二走　3, ,12,6,8,133.8,9,8,藤田弘治,56,ダ1500,不,**,1:45.3,5.1,**,8-7-8-8, ,42.6,478(0), , ,クレムフカ, 
2017/12/21,金沢,晴,4,C28, ,9,7,7,28.9,5,7,藤田弘治,56,ダ1400,不,**,1:40.6,4.9,**,8-8-8-8, ,41.6,478(+5), , ,フォックステイル, 
2017/12/03,金沢,晴,4,C29, ,7,8,8,20.2,4,5,藤田弘治,56,ダ1400,重,**,1:35.9,1.6,**,3-3-3-4, ,41.7,473(+9), , ,ゴールドニコニコ,1.2
2017/11/19,金沢,雨,4,C29, ,9,8,8,12.4,5,9,藤田弘治,56,ダ1400,不,**,1:37.7,4.6,**,6-7-7-8, ,41.8,464(+6), , ,アテンソード, 
2017/11/05,金沢,晴,4,C29, ,8,1,1,40.7,6,4,藤田弘治,56,ダ1500,不,**,1:42.8,2.6,**,8-8-8-8, ,40.1,458(0), , ,アクロスザシャイン,1.8
2017/10/29,金沢,雨,3,C2二走　4, ,11,7,9,70.7,6,8,中島龍也,56,ダ1400,不,**,1:34.9,3.6,**,9-10-9-9, ,39.3,458(+1), , ,フォーエバースカイ, 
2017/10/22,金沢,雨,5,C210, ,10,7,7,73.0,8,4,中島龍也,56,ダ1400,不,**,1:33.8,1.9,**,9-10-10-10, ,39.0,457(-3), , ,メイショウマッセル,1.8
2017/10/15,金沢,曇,5,C2二走　5, ,9,3,3,12.2,4,5,藤田弘治,56,ダ1500,重,**,1:43.4,2.9,**,9-8-8-7, ,39.4,460(-2), , ,モードザナゲット,1.2
2017/10/08,金沢,晴,4,C212, ,10,4,4,28.8,5,4,藤田弘治,56,ダ1400,重,**,1:34.0,0.7,**,6-6-7-6, ,39.8,462(0), , ,シャトーレディー,1.8
2017/10/01,金沢,晴,2,C2二走　5, ,10,6,6,6.4,3,6,藤田弘治,56,ダ1400,良,**,1:36.6,1.2,**,7-7-7-6, ,41.5,462(+2), , ,クリノロワイヤル, 
2017/09/24,金沢,晴,4,ハローファイブ競馬体, ,11,7,8,14.5,5,10,青柳正義,56,ダ1300,良,**,1:29.4,4.2,**,6-9-9-9, ,40.9,460(-6), , ,ボストンアプリコ, 
2017/09/17,金沢,曇,2,3歳B　二走5, ,6,3,3,7.9,2,4,青柳正義,56,ダ1400,稍,**,1:35.4,3.2,**,1-1-2-2, ,42.4,466(+2), , ,アスヘノキボウ,1.8
2017/09/10,金沢,晴,7,福井県畜産協会長賞, ,10,8,9,18.5,5,5,青柳正義,56,ダ1500,良,**,1:42.3,1.6,**,4-4-6-7, ,40.3,464(+9), , ,フェイマスラブ,1.2
2017/08/27,金沢,晴,6,3歳B　7, ,11,7,9,4.5,2,9,中島龍也,56,ダ1400,良,**,1:36.2,2.1,**,7-7-7-8, ,40.3,455(-10), , ,ブルーオーシャン, 
2017/08/20,金沢,曇,1,3歳B　二走6, ,7,2,2,3.2,2,2,中島龍也,56,ダ1400,稍,**,1:36.5,0.3,**,3-3-3-3, ,40.3,465(+4), , ,アスカショウダイ,4.6
2017/08/13,金沢,晴,1,3歳B　11, ,10,1,1,75.0,9,2,中島龍也,56,ダ1400,良,**,1:34.1,0.5,**,10-9-8-6, ,40.1,461(+5), , ,ワカバ,4.6
