日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2016/08/31,門別,晴,5,2歳5組, ,12,5,5,66.7,12,10,水野翔,54,ダ1200,稍,**,1:16.8,1.7,**,6-7, ,40.5,422(0), , ,スターレーン, 
2016/08/18,門別,晴,3,2歳未勝利(未勝利), ,10,8,9,5.7,3,1,黒沢愛斗,54,ダ1000,重,**,1:01.5,-0.7,**,3-1, ,37.5,422(0), , ,(スリーピーアイ),30.0
2016/08/02,門別,晴,1,2歳未勝利(未勝利), ,12,2,2,7.0,5,5,阿部龍,54,ダ1000,良,**,1:03.2,0.9,**,9-5, ,38.1,422(+2), , ,リコーアルバトロス,1.5
2016/07/20,門別,曇,2,2歳未勝利(未勝利), ,9,7,7,11.7,4,4,阿部龍,54,ダ1000,不,**,1:02.5,1.2,**,4-5, ,37.8,420(+2), , ,バイオレットガール,3.0
2016/07/06,門別,曇,1,2歳未勝利(未勝利), ,10,5,5,11.8,6,6,山本咲希,51,ダ1000,稍,**,1:03.6,1.5,**,7-7, ,38.3,418(-4), , ,ブリリアントアリス, 
2016/06/22,門別,晴,2,2歳牝馬未勝利(未勝利), ,12,7,10,29.5,7,6,桜井拓章,54,ダ1200,稍,**,1:17.1,1.5,**,5-5, ,40.2,422(-4), , ,セミプレナ, 
2016/06/08,門別,曇,2,2歳牝馬未勝利(未勝利), ,12,8,12,8.0,3,5,桜井拓章,54,ダ1000,良,**,1:04.8,0.9,**,5-5, ,39.8,426(0), , ,アンジュレーヴ,1.5
2016/05/19,門別,晴,6,JRA認定フレッシュ(新馬), ,9,8,8,49.5,9,8,井上俊彦,54,ダ1000,良,**,1:03.2,1.0,**,2-2, ,38.7,426(0), , ,ニイカップヒル, 
2016/04/27,門別,晴,5,JRA認定フレッシュ(新馬), ,7,1,1, , ,取,井上俊彦,54,ダ1000,良,**, , ,**, , , ,計不, , ,ラブミーファルコン, 
日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2017/12/16,5阪神5,曇,5,2歳新馬,,13,2,2,2.9,2,1,ルメール,55,芝1600,良,**,1:36.6,0.0,**,7-11,36.7-34.5,33.6,468(0),,,(カンタービレ),700.0
日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2018/01/28,2京都2,曇,11,シルクロードS(G3),,18,4,8,3.9,1,16,武豊,55,芝1200,良,**,1:09.7,1.4,**,2-2,34.0-34.3,35.4,478(+2),, ,ファインニードル, 
2017/10/01,4中山9,曇,11,スプリンターズS(G1),,16,4,7,10.4,4,15,武豊,55,芝1200,良,**,1:08.3,0.7,**,2-2,33.9-33.7,34.2,476(0),, ,レッドファルクス, 
