日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2017/12/17,5阪神6,晴,10,元町S(1600万下),,17,7,14,8.3,6,16,武豊,57,芝1600,良,**,1:34.9,1.1,**,16-16,35.5-34.3,34.2,458(+2),,,ミエノサクシード, 
2017/11/12,5京都4,晴,10,観月橋S(1600万下),,12,1,1,6.7,3,9,横山典弘,57,ダ1800,良,**,1:52.5,1.8,**,5-4-3-4,35.1-38.1,39.3,456(-4),, ,ラインルーフ, 
2017/09/03,2新潟12,晴,11,新潟記念(G3),,17,3,5,9.6,5,8,横山典弘,55,芝2000,良,**,1:58.1,0.2,**,8-7,35.2-34.6,34.2,460(-2),, ,タツゴウゲキ, 
2017/07/29,2新潟1,曇,11,佐渡S(1600万下),,10,4,4,6.4,4,2,横山典弘,57.5,芝2000,良,**,1:58.2,0.1,**,7-7,35.8-34.3,33.8,462(+6),,,ロッカフラベイビー,736.0
2017/04/30,1新潟2,晴,11,谷川岳S(OP),,14,1,1,5.5,4,13,古川吉洋,56,芝1600,良,**,1:35.6,1.2,**,8-8,36.0-34.5,34.6,456(-6),, ,ウインガニオン, 
2017/04/01,3中山3,曇,11,ダービー卿チャレンジ(G3),,16,6,12,9.2,4,8,横山典弘,55,芝1600,稍,**,1:35.3,0.6,**,14-10-10,36.2-34.7,34.4,462(+6),,,ロジチャリス, 
2017/02/05,1東京4,小雨,11,東京新聞杯(G3),,10,8,9,14.1,7,9,横山典弘,56,芝1600,良,**,1:35.8,0.9,**,10-10,37.2-32.7,32.4,456(+4),,,ブラックスピネル, 
2016/12/18,5阪神6,晴,9,元町S(1600万下),,15,2,3,5.7,3,1,武豊,56,芝1600,良,**,1:35.4,-0.1,**,13-13,36.3-34.5,33.5,452(+4),, ,(ハクサンルドルフ),"1,853.6"
2016/10/30,4東京9,曇,10,紅葉S(1600万下),,11,1,1,3.7,2,6,武豊,55,芝1600,良,**,1:34.6,0.4,**,9-9,35.7-35.0,33.8,448(-4),,,アストラエンブレム, 
2016/10/09,4東京2,曇,9,六社特別(1000万下),,13,6,9,3.9,1,1,武豊,55,芝1600,重,**,1:35.3,-0.2,**,9-7,36.0-34.6,33.9,452(+8),, ,(ルナプロスペクター),"1,532.2"
2016/05/28,3京都11,曇,10,白百合S(OP),,9,7,7,1.9,1,7,Ｍ．デム,56,芝1800,良,**,1:48.3,0.5,**,2-2,36.7-33.9,34.3,444(+4),, ,ブラックスピネル, 
2016/05/07,3京都5,晴,11,京都新聞杯(G2),,14,6,9,7.2,4,3,池添謙一,56,芝2200,良,**,2:12.9,0.3,**,9-9-8-7,36.1-34.5,34.3,440(-10),,,スマートオーディン,"1,415.4"
2016/02/07,2京都4,晴,11,きさらぎ賞(G3),,9,3,3,5.5,2,3,武豊,56,芝1800,良,**,1:47.5,0.6,**,7-6,35.5-34.9,34.5,450(0),, ,サトノダイヤモンド,954.7
2016/01/11,1京都4,晴,9,福寿草特別(500万下),,10,5,5,1.4,1,1,武豊,56,芝2000,良,**,2:00.4,-0.1,**,8-8-8-5,35.8-34.8,34.0,450(0),, ,(メイショウタチマチ),"1,025.2"
2015/11/29,5京都9,晴,3,2歳未勝利,,11,8,11,1.5,1,1,武豊,55,芝1800,良,**,1:50.3,-0.2,**,6-4,37.0-34.2,33.6,450(-2),, ,(タニノアーバンシー),500.0
2015/11/08,5京都2,雨,5,2歳新馬,,10,1,1,4.3,2,2,武豊,55,芝2000,重,**,2:04.2,0.4,**,3-3-4-4,38.2-34.9,35.0,452(0),, ,サトノダイヤモンド,280.0
日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2018/01/27,2京都1,晴,2,3歳未勝利,,11,7,9,11.0,3,7,荻野極,55,ダ1800,稍,**,1:57.8,3.0,**,2-2-4-5,36.7-38.4,41.0,520(-2),, ,ダイシンカローリ, 
2018/01/13,1京都4,晴,2,3歳未勝利,,12,8,11,6.6,4,3,荻野極,55,ダ1800,稍,**,1:57.8,0.7,**,5-6-4-4,38.3-38.6,38.9,522(-4),, ,ルリジオン,130.0
2017/12/24,5阪神8,曇,6,2歳新馬,,9,6,6,52.0,6,7,幸英明,55,芝1800,良,**,1:52.2,2.3,**,3-3,38.1-33.5,35.6,526(0),, ,ダノンマジェスティ, 
日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2017/10/21,3新潟3,曇,5,2歳未勝利,,18,1,2,73.8,15,13,伴啓太,52,芝1200,良,**,1:11.2,1.3,**,7-9,34.4-35.5,36.1,442(+12),,,キングキングキング, 
2017/07/01,1函館5,曇,5,2歳新馬,,9,2,2,3.7,2,4,松岡正海,54,芝1000,良,**,0:58.6,0.6,**,4-4,34.6-34.7,34.7,430(0),, ,キタノユウキ,110.0
日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2018/02/11,2京都6,晴,3,3歳未勝利,,16,8,16,26.8,8,7,松山弘平,54,ダ1400,不,**,1:27.1,1.4,**,3-2,35.0-38.3,39.3,464(+2),, ,プリヴェット, 
2017/12/28,5阪神9,曇,2,2歳未勝利,,15,4,8,55.6,9,7,池添謙一,54,ダ1400,稍,**,1:27.2,1.1,**,2-2,35.5-38.2,39.1,462(+2),, ,ブルベアブロッコリ, 
2017/12/10,5阪神4,晴,6,2歳新馬,,16,4,8,46.6,9,5,池添謙一,54,ダ1400,良,**,1:28.0,1.0,**,4-5,35.7-38.1,38.7,460(0),, ,メイショウコゴミ,70.0
日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2017/10/19,浦和,雨,12,陽月特別, ,11,4,4,35.7,8,10,繁田健一,55,ダ1500,不,**,1:39.4,3.2,**,9-9-10-9,30.6-39.6,41.2,506(+3), , ,インマイヒーロー, 
