日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2018/02/08,船橋,晴,12,野島崎特別, ,14,4,6,37.1,10,9,柏木健宏,56,ダ1600,稍,**,1:45.0,1.3,**,13-14-13-8,37.5-40.9,40.5,494(-1), , ,チャイヨー, 
2018/01/18,船橋,曇,10,酒々井特別, ,14,6,9,65.6,12,5,柏木健宏,56,ダ1600,重,**,1:45.5,1.1,**,13-13-13-12,37.6-41.2,40.5,495(+8), , ,エイシンニトロ,24.0
2017/12/20,浦和,晴,11,ポインセチア特別, ,11,5,5,44.7,10,7,柏木健宏,57,ダ1500,稍,**,1:38.1,1.5,**,10-10-9-8,31.2-39.4,39.2,487(-3), , ,ダージーパラダイス, 
2017/12/06,船橋,晴,12,ケンタウルス特別, ,13,5,6,121.1,10,7,柏木健宏,57,ダ1600,良,**,1:43.4,0.9,**,12-11-10-8,36.9-40.2,39.4,490(0), , ,ダイリュウハヤテ, 
2017/11/23,浦和,晴,11,勤労感謝の日特別, ,12,8,11,58.3,10,9,臼井健太,56,ダ1400,不,**,1:31.7,1.6,**,11-11-10-9,36.1-40.5,40.8,490(-2), , ,サンガッロ, 
2017/11/13,大井,雨,11,プロキオン賞競走, ,10,1,1,63.7,8,7,臼井健太,54,ダ1600,稍,**,1:44.3,1.1,**,8-7-8-8,39.5-38.3,38.9,492(+7), , ,ビリーバローズ, 
2017/10/27,船橋,晴,9,大福山特別, ,14,8,13,117.0,11,9,石崎駿,56,ダ1600,重,**,1:44.6,2.2,**,14-14-13-11,35.9-40.6,41.3,485(+3), , ,ライブリーソウル, 
2017/10/13,川崎,雨,11,川崎市長選挙記念, ,13,4,4,49.2,10,11,本田正重,57,ダ1500,重,**,1:37.4,1.8,**,13-13-13-9,29.7-40.4,40.7,482(-15), , ,マサノジェット, 
2017/09/29,船橋,晴,11,金風特別, ,9,4,4,21.7,7,8,町田直希,57,ダ1600,不,**,1:47.3,3.6,**,8-8-8-8,38.0-39.9,42.2,497(-5), , ,オルキスリアン, 
2017/05/31,浦和,曇,12,薫風特別, ,12,1,1,49.1,11,3,町田直希,56,ダ1400,良,**,1:29.5,0.7,**,10-10-10-10,37.1-38.8,37.9,502(-1), , ,ノーフォロワー,48.0
2017/05/18,川崎,曇,10,夏柳特別, ,11,5,5,32.5,10,7,町田直希,56,ダ1600,重,**,1:45.1,2.5,**,11-11-11-11,37.3-39.3,39.4,503(+4), , ,ベイビータピット, 
2017/05/01,船橋,曇,11,新緑特別, ,7,7,7,12.6,5,2,町田直希,56,ダ1600,稍,**,1:44.6,0.5,**,6-6-6-5,39.9-38.2,38.2,499(+3), , ,フミノインパルス,91.0
2017/04/04,川崎,晴,10,エイプリルスター賞, ,14,6,9,60.8,11,6,町田直希,57,ダ1600,稍,**,1:45.8,1.1,**,14-14-13-13,37.1-40.7,39.7,496(+1), , ,タニガワ, 
2017/03/13,船橋,雨,12,椿特別, ,14,1,1,29.7,10,7,町田直希,57,ダ1600,良,**,1:45.2,1.2,**,7-7-3-4,38.4-40.3,41.3,495(-4), , ,スティレット, 
2017/02/27,川崎,曇,11,楽天競馬10周年記念, ,14,8,14,32.2,10,11,町田直希,57,ダ1500,良,**,1:37.6,1.2,**,8-9-9-12,29.3-40.8,41.2,499(+8), , ,シゲルジダイマツリ, 
2017/01/30,川崎,晴,11,湘南にのみや菜の花記, ,14,5,8,12.5,5,7,柏木健宏,57,ダ1500,良,**,1:36.6,1.1,**,12-11-11-10,29.9-39.4,39.8,491(-4), , ,ケイエスソード, 
2017/01/10,船橋,晴,11,えびす特別, ,13,4,5,29.9,8,7,柏木健宏,57,ダ1600,不,**,1:44.3,1.7,**,11-12-10-9,38.0-39.3,39.9,495(+4), , ,ベイビータピット, 
2016/12/28,大井,晴,11,LーWING賞競走, ,13,5,6,83.1,12,8,町田直希,56,ダ1600,不,**,1:45.1,1.8,**,10-12-13-12,39.0-39.2,40.1,491(-1), , ,ターフデザイナー, 
2016/12/01,大井,晴,10,プロキオン賞競走, ,15,6,10,46.8,11,10,町田直希,55,ダ1600,不,**,1:44.0,1.5,**,12-12-11-10,37.3-39.9,40.5,492(0), , ,リンノフォーマリア, 
2016/11/16,大井,曇,12,リゲル賞競走, ,16,2,4,101.8,11,5,山崎誠士,55,ダ1200,重,**,1:14.2,1.4,**,10-9,35.1-37.7,38.0,492(+2), , ,ニシノラピート,35.0
2016/10/27,大井,晴,10,あうる賞競走, ,11,7,8,8.1,5,10,町田直希,57,ダ1800,良,**,1:57.9,2.2,**,8-9-6-8,39.0-38.2,39.9,490(+2), , ,ロマンホープ, 
2016/10/03,川崎,雨,9,しずおか爽秋特別, ,12,7,9,22.6,8,3,町田直希,57,ダ1500,稍,**,1:36.5,0.5,**,9-11-11-5,29.9-40.8,39.8,488(-2), , ,コスモパープル,52.0
2016/07/07,川崎,晴,11,キュンとするまち。藤, ,14,4,6,9.7,5,6,町田直希,57,ダ1600,良,**,1:43.8,0.6,**,7-7-7-5,36.7-41.1,40.9,490(-1), , ,バウトナカヤマ, 
2016/06/17,川崎,晴,10,湘南発祥の地大磯特別, ,14,7,12,28.8,7,4,町田直希,56,ダ1600,稍,**,1:44.6,1.0,**,10-10-9-6,37.0-40.4,40.1,491(-4), , ,ジュリエットレター,31.2
2016/05/26,川崎,晴,10,夏柳特別, ,13,8,12,6.7,4,12,和田譲治,57,ダ1500,良,**,1:37.8,2.3,**,9-8-8-10,30.1-39.4,40.5,495(+5), , ,ナガラキコウシ, 
2016/05/10,川崎,曇,9,メイスター賞, ,11,5,5,6.5,5,5,柏木健宏,57,ダ1600,重,**,1:45.3,1.8,**,10-10-11-9,37.4-39.6,39.8,490(+1), , ,ペプチドアポロ,32.0
2016/04/12,船橋,曇,11,八重桜特別, ,14,6,9,12.1,7,1,柏木健宏,56,ダ1600,稍,**,1:42.0,-0.2,**,13-13-13-11,36.6-40.3,38.6,489(-4), , ,(ワットロンクン),220.0
2016/03/31,川崎,晴,10,夜桜特別, ,12,3,3,2.3,1,2,町田直希,56,ダ1600,良,**,1:44.8,1.3,**,9-7-6-4,37.9-40.0,40.5,493(+2), , ,オーゴンボルト,72.0
2016/03/02,川崎,晴,12,春光特別, ,14,5,8,2.7,1,4,町田直希,56,ダ1500,良,**,1:36.7,0.9,**,10-10-6-3,30.0-39.8,39.7,491(0), , ,トーセンペンタゴン,28.8
2016/01/29,川崎,雨,10,銀嶺特別, ,10,6,6,2.7,1,1,町田直希,56,ダ1500,良,**,1:36.2,-0.3,**,7-7-7-5,29.5-40.2,39.2,491(-1), , ,(バウトナカヤマ),200.0
2016/01/04,川崎,晴,9,C1三, ,12,2,2,4.4,2,1,町田直希,56,ダ1400,良,**,1:30.8,-0.4,**,6-6-6-5,38.7-39.9,39.3,492(0), , ,(フュージョン),120.0
2015/12/14,川崎,曇,12,冬木立特別, ,11,5,5,5.8,4,1,町田直希,56,ダ1500,稍,**,1:38.6,-0.5,**,8-7-8-4,30.1-41.4,40.5,492(+2), , ,(ハヤブサアビオン),170.0
