日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2018/02/10,1小倉1,雨,4,3歳未勝利,,16,4,8,137.5,9,14,柴山雄一,54,芝2000,稍,**,2:03.9,2.4,**,9-8-13-11,35.5-36.3,37.7,426(+12),, ,レイエスプランドル, 
2018/01/21,1中山7,晴,1,3歳未勝利,,16,4,8,37.2,12,12,戸崎圭太,54,ダ1200,稍,**,1:14.4,1.3,**,16-15,33.7-39.4,38.4,414(-26),,,ミラビリア, 
2017/08/19,2新潟7,曇,6,2歳新馬,,18,4,7,7.7,4,10,戸崎圭太,54,芝1400,良,**,1:24.3,1.5,**,2-2,35.3-35.6,36.9,440(0),, ,マイティーワークス, 
日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2018/01/29,川崎,晴,10,カトレア特別, ,14,8,13,14.7,4,10,今野忠成,56,ダ1500,稍,**,1:38.9,1.7,**,11-11-9-12,28.6-41.6,42.4,502(-5), , ,コスモグラブ, 
2018/01/03,川崎,晴,12,今年も来たよ!ばんば, ,12,5,6,13.1,6,9,今野忠成,56,ダ1600,良,**,1:46.1,1.3,**,3-3-3-7,39.0-39.2,40.1,507(+1), , ,ジーケーワン, 
2017/12/11,川崎,晴,10,冬木立特別, ,13,6,10,26.5,9,2,今野忠成,56,ダ1600,良,**,1:45.6,0.0,**,7-7-5-3,37.4-42.0,41.0,506(+3), , ,マジックボーイ,84.0
2017/10/11,川崎,曇,12,道志川特別, ,11,2,2,10.3,6,11,今野忠成,56,ダ1600,稍,**,1:45.8,2.6,**,2-2-6-8,36.6-40.4,42.5,503(+3), , ,チャイヨー, 
2017/09/06,川崎,雨,9,やまなみ五湖「丹沢湖, ,14,8,14,21.8,7,1,今野忠成,56,ダ1600,重,**,1:46.6,-0.1,**,2-2-1-1,38.1-41.4,41.4,500(+8), , ,(フラワーオアシス),200.0
2017/08/22,川崎,曇,7,C1六　七, ,12,1,1,15.0,7,11,今野忠成,57,ダ1500,稍,**,1:38.6,2.2,**,9-9-10-10,30.5-40.2,40.5,492(+1), , ,サンドバレエ, 
2017/08/10,大井,曇,7,C113　14, ,8,6,6,40.7,7,1,今野忠成,56,ダ1600,稍,**,1:44.2,0.0,**,7-7-4-4,38.5-40.4,40.2,491(-6), , ,(クロワッサン),160.0
2017/08/02,川崎,曇,7,8.19ねぶくろシネ, ,12,2,2,27.3,8,8,今野忠成,56,ダ1500,不,**,1:40.3,1.8,**,6-6-7-7,30.1-42.2,42.9,497(+3), , ,コスモポルカ, 
2017/07/04,川崎,曇,8,C1八　九, ,11,6,7,31.7,9,7,今野忠成,56,ダ1500,良,**,1:37.9,1.5,**,6-7-5-5,30.1-39.8,40.7,494(+1), , ,ヘビデューティー, 
