日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2018/02/11,高知,晴,9,Aー3, ,10,7,8,10.2,3,2,西川敏弘,54,ダ1400,不, ,1:31.5,0.5, ,1-1-1-1, ,40.4,473(-2), , ,キシュウマイウェイ,15.0
2018/02/04,高知,晴,9,Aー3, ,8,2,2,2.7,1,4,永森大智,54,ダ1300,重,**,1:27.3,1.0,**,1-1-1-2, ,42.2,475(-3), , ,グレイスフルデイズ,6.0
2018/01/28,高知,曇,11,ベラトリックス特別, ,11,6,6,10.5,6,8,松木大地,55,ダ1400,重,**,1:33.7,2.0,**,4-4-5-9, ,42.5,478(+3), , ,ハルノフェスタ, 
2018/01/16,高知,晴,11,新荘川特別, ,10,2,2,1.7,1,2,永森大智,54,ダ1400,重,**,1:32.5,0.1,**,1-1-1-1, ,40.8,475(0), , ,グレイスフルデイズ,15.0
2018/01/01,高知,晴,8,初夢特別, ,11,6,6,2.2,1,3,永森大智,54,ダ1400,重,**,1:32.8,1.3,**,1-1-1-3, ,41.4,475(+1), , ,ギンパリ,12.0
2017/12/19,高知,晴,11,五台山特別, ,9,7,9,1.8,1,1,永森大智,54,ダ1400,稍,**,1:33.3,-0.2,**,1-1-1-1, ,41.4,474(0), , ,(サトノキングリー),60.0
2017/12/12,高知,曇,11,安芸川特別, ,9,5,5,9.7,3,2,永森大智,54,ダ1600,重,**,1:47.8,0.6,**,1-1-1-2, ,41.5,474(-7), , ,ティアップリバティ,15.0
2017/12/02,高知,晴,10,Bー3, ,10,8,10,2.4,1,2,永森大智,54,ダ1600,重,**,1:46.2,0.1,**,1-1-1-1, ,41.5,481(+5), , ,サピド,12.5
2017/11/12,高知,晴,10,谷やん誕生前夜祭特別, ,11,4,4,1.2,1,1,永森大智,54,ダ1300,稍,**,1:25.1,-0.1,**,2-2-2-2, ,40.4,476(-6), , ,(バーントシェンナ),40.0
2017/10/29,高知,晴,11,池公園特別, ,10,6,6,2.2,1,6,永森大智,54,ダ1600,不,**,1:45.3,1.3,**,2-2-3-4, ,41.3,482(+5), , ,ギンパリ, 
2017/10/15,高知,雨,6,岡村一真誕生特別, ,10,8,9,1.2,1,1,永森大智,54,ダ1400,不,**,1:30.1,-0.4,**,1-1-1-1, ,39.1,477(0), , ,(エイシンドルチェ),40.0
2017/09/30,高知,晴,9,C2ー2, ,12,7,10,1.3,1,1,永森大智,54,ダ1400,重,**,1:31.3,-0.7,**,1-1-1-1, ,40.2,477(+4), , ,(エイダイサンデー),30.0
2017/09/17,高知,雨,4,いちじく特別, ,0,6,7, , ,,永森大智,54,ダ1400,不,**, , ,**, , , ,474(+1), , , , 
2017/09/02,高知,晴,11,残暑特別, ,10,8,11,1.1,1,1,永森大智,54,ダ1300,良,**,1:24.6,-0.7,**,1-1-1-1, ,40.2,473(+1), , ,(アンリエット),40.0
2017/08/20,高知,晴,4,夢の高知競馬特別, ,11,6,7,1.1,1,1,永森大智,54,ダ1400,稍,**,1:31.0,-1.8,**,1-1-1-1, ,39.3,472(-4), , ,(メイショウインロウ),30.0
2017/08/06,高知,雨,3,C3ー2, ,12,2,2,1.3,1,1,永森大智,54,ダ1400,不,**,1:31.4,-0.5,**,2-2-2-1, ,40.8,476(+14), , ,(リュウノショコラ),20.0
2017/07/08,2福島3,晴,8,3歳上500万下,,16,6,12,223.8,15,16,菊沢一樹,52,ダ1150,良,**,1:11.9,3.0,**,11-12,31.4-37.5,39.6,462(+4),, ,リンガスウーノ, 
2017/01/29,1東京2,晴,6,4歳上500万下,,16,5,10,62.0,11,13,山本聡哉,54,ダ1400,良,**,1:29.2,3.8,**,11-14,35.4-37.3,40.3,458(-9),, ,スレッジハンマー, 
2016/11/22,高知,晴,10,ひいらぎ特別, ,9,6,6,1.3,1,1,永森大智,54,ダ1400,不,**,1:30.4,-0.2,**,1-1-1-1, ,39.6,467(-1), , ,(カフジホーク),16.0
2016/11/06,高知,曇,7,ポインセチア特別, ,10,1,1,1.3,1,1,永森大智,54,ダ1300,重,**,1:24.6,-1.4,**,1-1-1-1, ,40.5,468(+7), , ,(マイネルシュタット),16.0
2016/10/15,高知,晴,6,C3ー9, ,12,2,2,1.0,1,1,永森大智,54,ダ1300,稍,**,1:26.2,-1.6,**,1-1-1-1, ,40.2,461(+2), , ,(レイシ),14.0
2016/10/02,高知,晴,5,3歳ー3, ,9,8,8,1.0,1,1,永森大智,54,ダ1300,不,**,1:24.2,-1.1,**,1-1-1-1, ,39.9,459(-4), , ,(クインズネプチュン),14.0
2016/09/11,高知,晴,3,3歳ー5, ,12,2,2,1.7,1,1,永森大智,54,ダ1300,良,**,1:25.4,-2.4,**,1-1-1-1, ,40.4,463(+1), , ,(ループドライブ),14.0
2016/08/21,2新潟8,晴,2,3歳未勝利,,15,2,3,269.4,15,11,嘉藤貴行,54,ダ1200,良,**,1:13.8,3.2,**,5-5,34.0-36.6,39.2,462(-2),, ,ゴールドフォレスト, 
2016/06/11,3東京3,晴,3,3歳未勝利,,16,3,6,114.9,10,16,嘉藤貴行,54,ダ1400,良,**,1:29.2,3.2,**,7-8,35.8-37.4,39.7,464(0),, ,サノノカガヤキ, 
