日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2017/12/17,4中京6,晴,4,障害3歳上未勝利,,14,5,7,37.8,10,中,大江原圭,58,障3000,良, , , , ,13-13-14,107.0-41.0, ,504(-4),, ,コスモストレンジ, 
2017/09/10,4中山2,晴,8,3歳上500万下,,15,8,15,58.8,13,14,伴啓太,53,芝1800,良,**,1:48.9,1.3,**,4-5-2-8,36.4-34.8,35.9,508(+10),, ,ラッシュアタック, 
2017/08/20,2新潟8,晴,8,3歳上500万下,,13,4,5,30.8,7,5,伴啓太,53,芝1800,良,**,1:48.6,0.5,**,1-1,37.6-33.3,33.8,498(0),, ,イストワールファム,75.0
2017/08/12,2新潟5,曇,12,3歳上500万下,,15,6,11,20.6,9,13,内田博幸,55,ダ1200,稍,**,1:14.3,2.2,**,3-4,34.2-37.9,40.0,498(-4),, ,アシャカセルクル, 
2017/06/17,3東京5,晴,9,八丈島特別(500万下),,11,7,8,55.1,9,9,田中勝春,55,芝1800,良,**,1:48.8,1.5,**,2-2-2,37.0-33.4,34.8,502(+4),, ,ペイドメルヴェイユ, 
2017/05/27,2東京11,晴,7,4歳上500万下,,16,4,7,6.7,3,14,戸崎圭太,55,ダ1400,重,**,1:25.4,1.5,**,2-2,35.8-35.8,37.2,498(0),, ,ブレヴェスト, 
2017/04/30,2東京4,晴,8,4歳上500万下,,14,8,14,8.9,4,3,田中勝春,55,ダ1600,良,**,1:39.2,0.1,**,2-2,35.9-37.5,37.5,498(-4),, ,ニシノクラッチ,190.0
2017/04/23,2東京2,晴,8,4歳上500万下,,13,6,8,26.6,8,10,柴山雄一,55,芝1600,良,**,1:35.3,1.5,**,5-4,34.5-35.7,36.6,502(-2),, ,エンジニア, 
2017/02/19,1小倉4,晴,7,4歳上500万下,,15,4,7,10.4,7,10,武士沢友,55,芝1800,良,**,1:48.9,0.9,**,4-3-2-2,36.1-35.8,36.6,504(-2),, ,レイホーロマンス, 
2017/02/05,1東京4,曇,6,4歳上500万下,,16,1,2,26.1,8,4,内田博幸,55,芝1800,良,**,1:47.9,0.6,**,3-3-3,36.1-34.7,34.9,506(+2),, ,ワンショットキラー,110.0
2017/01/28,1東京1,晴,12,4歳上500万下,,16,2,4,13.5,5,6,田辺裕信,55,芝1600,良,**,1:34.7,1.1,**,4-4,35.5-34.5,34.6,504(0),, ,ムーンクエイク, 
2016/12/10,4中京3,晴,8,3歳上500万下,,18,1,1,18.7,7,11,丸山元気,55,芝2000,良,**,2:02.3,1.4,**,2-2-2-1,34.8-36.2,37.6,504(-4),, ,ロゼリーナ, 
2016/11/12,5東京3,晴,8,3歳上500万下,,17,6,12,30.1,9,8,北村宏司,55,芝1600,稍,**,1:35.4,0.6,**,1-1,36.3-34.4,35.0,508(-10),, ,グレーターロンドン, 
2016/09/10,4中山1,晴,8,3歳上500万下,,15,8,15,13.9,5,11,内田博幸,55,芝1800,良,**,1:49.3,1.0,**,3-3-4-6,37.3-35.1,35.8,518(+8),, ,ネオヴェルザンディ, 
2016/08/14,2新潟6,晴,7,3歳上500万下,,16,4,7,19.7,9,3,蛯名正義,55,芝1800,良,**,1:47.5,0.0,**,1-1,36.8-33.4,33.4,510(0),, ,ベアインマインド,190.0
2016/07/24,2福島8,晴,9,栗子特別(500万下),,16,8,16,8.7,5,5,内田博幸,55,芝1800,良,**,1:49.6,0.6,**,6-7-8-7,37.2-35.6,35.4,510(+10),, ,ルグランパントル,105.0
2016/07/02,2福島1,曇,9,雄国沼特別(500万下),,16,5,10,3.1,2,4,戸崎圭太,55,芝1800,良,**,1:47.0,0.3,**,3-3-2-2,35.7-35.1,35.3,500(-8),, ,ウインマハロ,160.0
2016/06/19,3東京6,曇,7,3歳上500万下,,16,6,12,5.7,3,3,ベリー,55,芝1800,良,**,1:49.2,0.1,**,2-2-2,37.4-34.0,34.0,508(+4),, ,メローハーモニー,190.0
2016/05/15,2東京8,晴,9,テレ玉杯(1000万下),,14,4,5,21.2,7,11,松岡正海,55,芝2000,良,**,2:01.8,0.9,**,1-1-2,37.1-34.1,35.0,504(0),, ,ゴールドテーラー, 
2016/04/30,2東京3,晴,7,4歳上500万下,,13,8,13,13.9,6,1,戸崎圭太,55,芝1600,良,**,1:33.9,0.0,**,2-2,35.6-34.8,34.6,504(+12),, ,(ダイワブレイディ),750.0
2016/03/06,1小倉8,曇,7,4歳上500万下,,13,7,11,13.8,5,11,吉田隼人,55,芝2000,稍,**,2:01.6,0.6,**,2-2-2-2,35.9-35.8,36.2,492(-6),, ,カゼルタ, 
2016/02/20,1小倉3,曇,9,4歳上500万下,,18,8,18,12.5,5,6,吉田隼人,54,芝2000,重,**,2:02.2,0.4,**,15-13-14-11,34.6-36.8,36.3,498(+2),,,マイネボニータ, 
2016/02/14,1小倉2,曇,9,4歳上500万下,,16,4,8,4.3,1,9,吉田隼人,54,芝1800,稍,**,1:48.6,0.4,**,3-3-5-4,34.8-36.8,36.9,496(+2),, ,スマートルピナス, 
2015/11/14,3福島5,雨,10,土湯温泉特別(500万下),,16,2,3,10.7,3,6,勝浦正樹,53,芝1800,重,**,1:52.2,0.5,**,6-6-5-2,35.6-37.1,37.2,494(+2),, ,ブルックデイル, 
2015/10/31,3福島1,晴,12,二本松特別(500万下),,16,4,7,4.1,2,4,丸山元気,53,芝1800,良,**,1:48.5,0.3,**,2-2-2-2,35.9-34.8,35.0,492(-10),, ,ブレイヴリー,140.0
2015/09/20,4中山4,晴,9,汐留特別(500万下),,14,4,6,5.9,2,3,北村宏司,52,芝2000,良,**,2:02.4,0.3,**,3-2-3-3,37.8-35.3,35.3,502(+6),, ,ウインオリアート,264.5
