日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2018/01/17,船橋,曇,4,アジュディミツオー・, ,13,6,10,2.5,1,4,御神本訓,57,ダ1600,良,**,1:45.5,0.5,**,1-1-1-1,37.4-41.2,41.7,457(-4), , ,スプリングマン,45.0
2017/12/13,川崎,晴,11,全日本2歳優駿【指定(G1), ,13,4,6,102.6,8,12,御神本訓,55,ダ1600,良,**,1:44.4,2.8,**,3-5-4-12,36.4-39.5,41.5,461(-1), , ,ルヴァンスレーヴ, 
2017/11/21,園田,晴,10,兵庫ジュニアグランプ(G2), ,12,4,4,6.9,2,3,川原正一,55,ダ1400,良,**,1:28.2,0.4,**,6-6-5-4, ,38.5,462(-2), , ,ハヤブサマカオー,264.0
2017/10/25,門別,晴,11,サッポロクラシックカ(OP), ,9,6,6,2.1,1,1,岩橋勇二,55,ダ1200,重,**,1:12.8,-0.8,**,5-6, ,37.2,464(+10), , ,(デニストン),300.0
2017/09/03,2札幌6,晴,10,すずらん賞(OP),,15,3,5,26.3,7,12,岩橋勇二,54,芝1200,良,**,1:13.1,2.3,**,13-12,34.2-36.6,37.6,454(-2),, ,リュウノユキナ, 
2017/08/15,門別,曇,10,JRA認定ターフチャ(OP), ,9,6,6,2.6,1,1,岩橋勇二,54,ダ1200,稍,**,1:14.3,-0.3,**,1-1, ,37.9,456(-2), , ,(デニストン),200.0
2017/07/12,門別,晴,5,JRA認定フレッシュ(新馬), ,10,8,10,1.3,1,1,岩橋勇二,54,ダ1000,良,**,1:01.9,-0.8,**,1-1, ,38.0,458(0), , ,(アフリカファースト),150.0
日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2018/01/21,1中山7,晴,9,若竹賞(500万下),,9,7,7,10.2,4,6,田中勝春,56,芝1800,良,**,1:51.1,1.0,**,2-3-3-3,38.2-35.0,35.8,430(0),, ,レノヴァール, 
2018/01/06,1中山1,晴,10,ジュニアC(OP),,8,2,2,11.1,3,3,田中勝春,56,芝1600,良,**,1:38.6,0.4,**,3-2-2,37.5-34.3,34.6,430(0),, ,テンクウ,483.3
2017/12/16,5中山5,曇,9,ひいらぎ賞(500万下),,16,7,14,14.0,7,7,田中勝春,55,芝1600,良,**,1:35.5,0.8,**,4-6-5,35.3-35.3,35.5,430(+4),, ,マイネルキャドー, 
2017/11/26,5東京8,晴,7,ベゴニア賞(500万下),,11,8,11,12.1,5,4,田中勝春,55,芝1600,良,**,1:35.3,0.3,**,5-5,35.3-35.2,34.9,426(0),, ,アンブロジオ,150.0
2017/10/07,4東京1,曇,11,サウジアラビアRC(G3),,18,7,15,110.6,12,9,田中勝春,55,芝1600,稍,**,1:33.9,0.9,**,12-10,34.3-34.7,34.6,426(-2),, ,ダノンプレミアム, 
2017/09/09,4中山1,晴,9,アスター賞(500万下),,8,1,1,20.7,6,2,田中勝春,54,芝1600,良,**,1:35.2,0.1,**,3-3-4,36.9-33.7,33.6,428(0),, ,ノームコア,405.2
2017/07/23,2福島8,小雨,1,2歳未勝利,,13,3,3,12.7,5,1,田中勝春,54,芝1200,良,**,1:11.1,-0.2,**,11-9,35.9-35.2,34.8,428(-4),,,(キミワテンマ),500.0
2017/07/02,2福島2,曇,6,2歳新馬,,9,4,4,9.0,6,5,田中勝春,54,芝1200,良,**,1:10.6,0.9,**,3-4,34.5-35.2,35.8,432(0),,,パッセ,70.0
日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2017/03/21,園田,雨,6,3歳C1, ,12,3,3,13.4,5,1,田中学,54,ダ1400,不,**,1:30.9,-0.1,**,7-7-6-2, ,38.2,476(+13), , ,(グランプリシップ),45.0
2017/01/03,園田,晴,4,3歳二組, ,11,5,6,73.9,11,8,山田雄大,54,ダ1400,良,**,1:34.0,1.1,**,11-11-11-9, ,40.3,463(-2), , ,キョショウ, 
2016/12/13,園田,雨,8,JRA認定アッパート, ,9,6,6,124.1,8,5,山田雄大,54,ダ1230,重,**,1:22.1,2.1,**,9-9-9-8, ,39.7,465(0), , ,デュークトレジャー,15.0
2016/11/30,園田,曇,9,JRA認定アッパート, ,11,5,5,35.1,9,8,大山真吾,54,ダ1700,稍,**,1:57.8,3.4,**,11-11-11-10, ,40.2,465(+7), , ,イオタイザン, 
2016/11/10,園田,曇,5,佳奈子だよっ!全員集, ,12,8,12,4.4,3,2,田中学,54,ダ1400,良,**,1:34.6,0.0,**,9-8-9-5, ,40.8,458(-4), , ,ディアブロマズル,14.4
2016/10/26,園田,晴,3,2歳三組, ,12,7,10,3.4,3,2,田中学,54,ダ1400,稍,**,1:35.2,0.1,**,4-4-3-2, ,39.8,462(-2), , ,ノーマーク,13.2
2016/09/29,園田,雨,3,2歳三組, ,11,4,4,4.4,3,6,田中学,54,ダ1400,不,**,1:34.4,2.3,**,10-10-10-10, ,41.4,464(+1), , ,キョショウ, 
2016/09/14,園田,曇,4,初出走, ,5,5,5,6.1,4,3,田中学,54,ダ1400,稍,**,1:35.8,1.9,**,5-5-5-5, ,41.6,463(0), , ,マジックカーペット,12.0
日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
1994/09/11,4中山2,晴,4,4歳未勝利, ,14,5,7,36.4,8,6,坂井千明,55,芝1600,良, ,1:36.2,0.9, ,7-9-8,34.4-37.2,37.0,472(+4), , ,ホッカイリアル, 
1994/07/31,2新潟6,晴,6,4歳未勝利, ,14,6,10,30.9,8,5,坂井千明,55,芝1600,良, ,1:37.1,1.1, ,7-9,35.3-36.2,36.6,468(-8), , ,ムーンライトソナタ,50.0
1994/07/10,1福島8,小雨,4,4歳未勝利, ,11,6,8,28.6,7,7,徳吉孝士,55,ダ1000,重, ,1:02.5,2.3, ,8-10,35.4-36.9,38.2,476(0), , ,スロクスサノオ, 
日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2018/02/02,川崎,曇,12,立春特別, ,14,2,2,6.0,3,5,今野忠成,56,ダ1600,不,**,1:45.3,1.0,**,7-7-3-2,37.5-40.5,40.5,527(-5), , ,カワナ,20.0
2018/01/03,川崎,晴,10,今年も馬い!八幡平マ, ,14,5,8,4.8,3,5,今野忠成,56,ダ1500,良,**,1:37.6,0.3,**,2-1-1-1,29.9-41.3,41.6,532(+3), , ,タイセイブラスト,20.0
2017/12/13,川崎,晴,12,フロイデ特別, ,14,8,13,5.6,3,2,今野忠成,56,ダ1500,良,**,1:36.9,0.2,**,2-2-1-2,30.3-41.1,41.3,529(+4), , ,アルディバイン,70.0
2017/11/07,川崎,晴,9,菊花特別, ,14,5,8,2.5,1,3,今野忠成,56,ダ1600,良,**,1:44.5,0.2,**,2-2-2-2,37.9-40.2,40.2,525(+7), , ,サンコロナ,40.0
2017/10/10,川崎,晴,9,C1五　六, ,12,6,7,3.1,1,1,今野忠成,56,ダ1400,稍,**,1:30.8,-1.2,**,1-1-1-1,38.1-40.6,40.6,518(+13), , ,(レオダイナミック),120.0
2017/09/09,川崎,晴,5,全国餃子サミット・か, ,14,2,2,3.5,1,4,今野忠成,56,ダ1500,稍,**,1:37.8,0.6,**,1-1-1-1,29.2-41.6,42.2,505(-15), , ,ドナアーディ,27.0
2017/08/23,川崎,晴,2,初風賞, ,10,5,5,1.8,1,4,今野忠成,56,ダ900,良,**,0:55.7,0.5,**,4-5,28.9-38.0,37.9,520(+15), , ,セノーテ,18.2
2017/02/03,川崎,晴,9,雪晴賞, ,10,8,10,1.8,1,1,今野忠成,56,ダ1500,良,**,1:38.1,-0.4,**,1-1-1-1,30.5-40.5,40.5,505(-3), , ,(グランペルル),140.0
2017/01/01,川崎,晴,1,2017幕開け賞, ,10,7,7,2.2,1,2,今野忠成,56,ダ1500,良,**,1:37.8,0.1,**,1-1-1-1,31.5-39.6,39.7,508(-11), , ,ブリッジシップ,42.0
2016/12/13,川崎,曇,1,2歳7, ,10,4,4,2.7,2,1,今野忠成,55,ダ1400,良,**,1:33.9,-0.7,**,1-1-1-1,42.9-38.4,38.4,519(+3), , ,(クロヴァージョ),150.0
2016/11/04,川崎,晴,2,スパーキングデビュー, ,7,8,8,2.1,2,3,今野忠成,55,ダ1400,重,**,1:36.5,4.9,**,3-2-2-3,38.8-40.5,45.0,516(0), , ,コスモス,45.0
日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2018/01/29,名古屋,晴,8,コハクチョウ特別, ,8,6,6,1.5,1,1,田知弘久,56,ダ1400,稍,**,1:32.3,-0.2,**,3-3-3, ,40.0,487(0), , ,(コスモロッソ),50.0
2018/01/16,名古屋,晴,10,新春ペガサスC(OP), ,12,6,7,42.3,5,5,田知弘久,56,ダ1600,稍,**,1:45.4,2.0,**,10-7-5, ,39.9,487(0), , ,サムライドライブ,10.0
2017/12/26,金沢,雨,6,2歳2, ,6,5,5,3.8,3,1,田知弘久,55,ダ1500,不,**,1:39.8,-1.3,**,3-2-2-1, ,41.9,487(-6), , ,(アイムホーム),40.0
2017/12/10,金沢,晴,1,佐藤愛生金沢競馬来場, ,11,7,8,2.5,2,3,田知弘久,55,ダ1400,不,**,1:31.1,0.7,**,3-3-3-3, ,40.1,493(+7), , ,キタカップ,4.8
2017/11/09,門別,曇,3,2歳3組, ,10,8,9,5.9,3,1,五十嵐冬,55,ダ1200,不,**,1:15.6,-0.1,**,1-1, ,39.6,486(-8), , ,(ホワイトガンベルト),50.0
2017/10/25,門別,晴,7,2歳OP(OP), ,7,7,7,10.4,4,5,井上幹太,54,ダ1000,重,**,1:01.6,1.1,**,2-2, ,38.1,494(+2), , ,ソフトポジション,3.5
2017/10/12,門別,曇,5,2歳3組, ,10,7,8,23.8,5,6,井上幹太,55,ダ1200,不,**,1:15.8,1.1,**,5-5, ,39.8,492(+6), , ,リヨ, 
2017/09/13,門別,晴,4,ホクレン「う米豚」賞, ,8,1,1,18.7,7,8,井上幹太,54,ダ1200,重,**,1:17.3,2.6,**,8-8, ,39.4,486(0), , ,ゴールドシンボル, 
2017/08/30,門別,曇,7,JRA認定アタックチ(未勝利), ,9,6,6,49.5,9,6,井上幹太,54,ダ1200,重,**,1:15.5,0.6,**,2-2, ,39.9,486(0), , ,リコーアナコンダ, 
