日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2018/01/28,2京都2,曇,9,若菜賞(500万下),,12,1,1,35.8,9,9,浜中俊,54,芝1200,良,**,1:10.8,0.4,**,1-1,35.5-34.9,35.3,434(+2),,,オジョーノキセキ, 
2017/12/16,4中京5,曇,10,つわぶき賞(500万下),,16,6,12,46.7,9,14,北村友一,54,芝1400,良,**,1:24.1,1.3,**,3-3,35.7-34.4,35.5,432(+2),, ,アンコールプリュ, 
2017/09/09,4阪神1,晴,2,2歳未勝利,,11,5,5,4.2,3,1,福永祐一,54,芝1400,良,**,1:22.9,-0.1,**,2-2,36.0-34.5,34.3,430(-4),, ,(リリカルドリーム),500.0
2017/07/30,2新潟2,晴,6,2歳新馬,,15,2,2,1.8,1,5,戸崎圭太,54,芝1400,良,**,1:24.1,0.8,**,9-9,35.8-35.0,34.8,434(0),, ,ルリハリ,70.0
日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2017/06/29,園田,曇,8,3歳C1, ,12,5,5,5.7,3,12,吉村智洋,54,ダ1400,稍,**,1:33.9,3.7,**,9-9-11-11, ,41.7,414(+5), , ,キングラズベリー, 
2016/12/13,佐賀,雨,9,JRA交流ミヤマキリ, ,9,2,2,1.8,1,2,酒井学,54,ダ1400,不,**,1:31.9,0.9,**,2-2-2-3, ,39.6,409(+3), , ,キリシマキャプテン,90.0
2016/08/27,2小倉9,曇,9,ひまわり賞(OP),,16,1,2,41.6,5,4,幸英明,53,芝1200,良,**,1:11.1,2.0,**,4-4,33.9-35.2,36.7,406(+2),, ,カシノマスト,210.0
2016/08/13,2小倉5,晴,1,2歳未勝利,,15,8,17,11.6,3,2,幸英明,54,芝1200,良,**,1:11.3,0.9,**,3-3,34.2-36.2,36.9,404(0),, ,テイエムソッキュウ,200.0
2016/07/31,2小倉2,晴,5,2歳新馬,,18,1,1,6.1,3,5,幸英明,54,芝1200,良,**,1:12.0,0.8,**,6-5,34.5-36.7,37.0,404(0),,,テイエムヒッタマゲ,70.0
