

テアトロレアル,シンボリクリスエス(USA),ナイトアットオペラ
テアニン,ディープスカイ,ハナコスマイル
デアリングアイデア,トランセンド,フェスティブシャン
デアレガーロ,マンハッタンカフェ,スーヴェニアギフト(USA)
テイア,マヤノトップガン,ロココスタイル
ディアアルム,エイシンフラッシュ,ディアナムラ
ディアイロンデル,アドマイヤムーン,クレイジーラブ
ディアヴイーバル,フォーティナイナーズサン(USA),イセノメガミ
ディアエナ,スニッツェル(AUS),ディアボレッサ
ディアエミネンス,オレハマッテルゼ,ディアプリザーヴ
ディアグリスター,テレグノシス,ストームイメージ
ディアクーシー,マンハッタンカフェ,オーラ(USA)
ディアゴッホ,マツリダゴッホ,アイリスモレア
ディアコンチェルト,サムライハート,サイレントベッド
ディアゴールド,ナカヤマフェスタ,ディアマイフレンズ
ディアサルファー,ローエングリン,リバラン
ディアサンダー,ブラックタキシード,ディアダンサー
ディアシェダル,アドマイヤマックス,キラリン
ディアシトリン,フリオーソ,マイキャンディー
ディアシューター,サムライハート,ナムラクロシェット(USA)
ディアジラソル,アッミラーレ,ノーザンスター
ディアストライカー,アフリート(CAN),ハローソーソー(IRE)
ディアチャイブ,グラスワンダー(USA),ラロキューン
ティアップアラシ,フレンチデピュティ(USA),シーギリアレディー
ティアップアリア,ヘニーヒューズ(USA),ティアップダイヤ
ティアップアンジュ,エンパイアメーカー(USA),シーギリアレディー
ティアップサンダー,サウスヴィグラス(USA),アイラシンガー
ティアップジェイド,タニノギムレット,ティアップダイヤ
ティアップジャンコ,ジャングルポケット,ティアップダイヤ
ティアップシンガー,ボストンハーバー(USA),アイラシンガー
ティアップセッター,サウスヴィグラス(USA),ティアップアケヒメ
ティアップポケット,ジャングルポケット,アイラシンガー
ティアップリバティ,カジノドライヴ(USA),セリーヌローズ
ディアデルレイ,キングカメハメハ,ディアデラノビア
ディアドナテロ,スウィフトカレント,ハイフリート
ディアドムス,ジャングルポケット,マイネランデブー
ディアドラ,ハービンジャー(GB),ライツェント
ティアドーロ,ハーツクライ,ソフィアルージュ
ティアナ,カネヒキリ,ミッドウェイ
ディアバビアナ,マツリダゴッホ,アイリスモレア
ディアパリス,キングズベスト(USA),デヴェロッペ
ディアビオラン,タニノギムレット,サンシャインバレイ
ディアヒメノカリス,キングヘイロー,ポットブリリアンス
ディアヒラリー,ネオユニヴァース,アドマイヤヒラリー
ディアフェルスパー,キングズベスト(USA),ニーマルオトメ
ディアブライド,ヴィクトワールピサ,アルウェン
ディアブルーダー,ゼンノロブロイ,サクセスウイッチ
ディアブロマズル,ホワイトマズル(GB),コブシ
ディアブロリンド,ブラックタキシード,ネイビーズドーター
ディアベリンダ,アッミラーレ,マーゴーン(USA)
ディアボレット,ディープブリランテ,エトピリカ
ディアボロス,ルーラーシップ,サイレントセンティネル(USA)
ディアマイダーリン,ハーツクライ,オネストリーダーリン(USA)
ティアマト,ヴァーミリアン,ウメノファイバー
ティアマリア,マンハッタンカフェ,マリアージュ
ディアマルコ,スパイキュール,エコパン
ディアメドゥーサ,ダイワメジャー,ピアノリサイタル
ディアメラク,サムライハート,ミスターキン
ティアモブリーオ(USA),エンパイアメーカー(USA),グリントインハーアイ(USA)
ディアユリアザミ,ボストンハーバー(USA),ハイフリート
ディアライゼ,プリサイスエンド(USA),ナムラフェアリ
ディアライドオン,マツリダゴッホ,キュルミナン
ディアラベンダー,グラスワンダー(USA),ディアスカーレット
ディアルレイル,フォーティナイナーズサン(USA),サウダージ
ディアレストハリテ,アッミラーレ,ロングディアレスト
デイアンドデイ,ハーツクライ,サンデア(USA)
ディアーゴッド,サムライハート,エスワイジュピター
ティイ,エイシンフラッシュ,ミスユニバース
ディヴァイン,ハーツクライ,マジックポーション２(IRE)
ディヴァインサーガ,ルーラーシップ,ゴットサーガ
ディヴァインハイツ,ハーツクライ,ドバウィハイツ(GB)
ディヴィデンド,ヴァーミリアン,グローリアスローズ
ディヴィナライン,オルフェーヴル,フラライン(USA)
ディヴェルシオーネ,ジャイアントレッカー(USA),スリーレインボー
ディヴェルティーレ,エンパイアメーカー(USA),クリアムーブメント
ティヴォリオベーネ,ローエングリン,アムールレジェンド
テイエムアステル,ハーツクライ,ティエッチグリーン(USA)
テイエムアニマンテ,カネヒキリ,セイシンアスリート
