

バアサマ,エンパイアメーカー(USA),ジェニュラビーン
パイ,オンファイア,コロナドスマイル
バイアウト,キャプテントゥーレ,チケットトゥダンス(IRE)
ハイアガール,ホワイトマズル(GB),ミッキーマドラー
バイアストリート,ストリートセンス(USA),マチカネベニザクラ(IRE)
ハイアビリティー,キングヘイロー,ロッチダンス
ハイアーヴォルト,メイショウボーラー,リングフィンガー
ハイアーグラウンド,シンボリクリスエス(USA),アスピリンスノー
ハイアーパーク,ハイアーゲーム,フレンドパーク
ハイヴォルテージ,サウスヴィグラス(USA),スズカノオジョー
ハイエストクイーン,シンボリクリスエス(USA),タニノハイクレア
ハイエストシルバー,シンボリクリスエス(USA),ハイエストホワイト
バイオスパーク,オルフェーヴル,ナナヨーティアラ
パイオニアゴールド,ステイゴールド,セントフロンティア(AUS)
パイオニアバイオ,ルーラーシップ,アニメイトバイオ
パイオニアワーク,スマートファルコン,ディスカバリングビューティー(USA)
バイオネッタ,サマーバード(USA),シャインベル
バイオレットフィズ,タニノギムレット,プライムオブユース(USA)
バイオレントブロー,バゴ(FR),バイオレントハート
ハイオンザリスト,ローエングリン,ミヤビオウカ
バイオンディップス,マンハッタンカフェ,リトルディッパー
バイガエシ,ジャングルポケット,ナイストップクイン
バイカルフォンテン,カンパニー,ハーツブラッド
ハイギア,アサクサデンエン(GB),フリートサクシード
ハイクアウト,トランセンド,スウィートウィン(USA)
パイクステソーロ,クロフネ(USA),スマートレモラ
ハイクラスバイオ,ブラックタイド,クレヴァネスバイオ
ハイクリア,キングズベスト(USA),リップル
バイザスコット,ゼンノロブロイ,バイザキャット(USA)
ハイジャ,シニスターミニスター(USA),ハイフレンドディア(USA)
バイスブルー,ディープスカイ,アプリシエーション(IRE)
ハイタイド,ブラックタイド,ケイエスホノカ
バイタルコード,ロードカナロア,バイタルスタイル
バイタルフォルム,アッミラーレ,ポピーリース
バイタルフォース,Quality Road(USA),タップゴールド(USA)
バイタルワンダー,グラスワンダー(USA),エターナルロマンス
ハイチーズ,タートルボウル(IRE),チーズマヨ
バイツァダスト,オレハマッテルゼ,ゴールドグレイス(AUS)
ハイテルカイト,カネヒキリ,リアクションレート
ハイデンガールズ,サウスヴィグラス(USA),チーキーガールズ
ハイドラン,ローエングリン,ミミオブパラダイス
ハイドロフォイル,クロフネ(USA),レースウィング
ハイドロポリス,ルールオブロー(USA),ミスイザベラ(USA)
ハイドンセット,ハーツクライ,メルセンヌナンバー
パイナワレア,ヨハネスブルグ(USA),バクシンスクリーン
ハイハット,ブラックタイド,センノメグミ
ハイパワーゴッド,マツリダゴッホ,ハイパワーグレイス
ハイパワーストーム,スタチューオブリバティ(USA),ハイパワーグレイス
ハイパーエンジェル,イーグルカフェ(USA),エビスサンデー
ハイパーチャージ,ステイゴールド,グランドエナジー
ハイパーノヴァ,アイルハヴアナザー(USA),スペシャルクイン
ハイピュアリティ,ショウナンカンプ,キョウエイピュア
ハイヒール,トーセンホマレボシ,ドリームスケイプ
ハイヒールモモタン,クロフネ(USA),キーポケット
ハイブログ,スマートファルコン,ピースデピュティ
バイマイサイド,ステイゴールド,マンティスハント
ハイマウンテンラブ,スウェプトオーヴァーボード(USA),ラブポエット
ハイマックス,ストーミングホーム(GB),スカイバレンタイン
ハイヤーアプシス,ダノンシャンティ,テイクミーハイヤー
バイヨネット,アジュディミツオー,パーフェクトレディ
バイラ,ヘニーヒューズ(USA),コウエイテンプウ
バイラルメディア,ナカヤマフェスタ,エガオヨシ
ハイランドグラス,スターリングローズ,カネショウバナナ
ハイランドクーラー,ベーカバド(FR),メジロルーシュバー
ハイランドピーク,トーセンブライト,ハイランドダンス
ハイランドリュウセ,ジャングルポケット,フィフスアベニュー
バイラール,スマートファルコン,クレバーパルマ
パイルーチェ,ナカヤマフェスタ,パイクーニャン
バイレ,スズカマンボ,ヒカルトクタイセイ
ハイレベルバイオ,マンハッタンカフェ,ボシンシェ(USA)
ハイレートクライム,ディープブリランテ,スルーレート
パイロキシン,パイロ(USA),イシノスティール
パイロキネシスト,パイロ(USA),グランドホイッスル
パイロサンデー,パイロ(USA),ラブリーカランコエ
パイロスター,パイロ(USA),クラクエンキャット
パイロット,サムライハート,アリエナイ
バイーア,キングヘイロー,サルヴァドール
ハヴアサニーデイ,アイルハヴアナザー(USA),マイネカンナ
ハヴアナイスディ,ベーカバド(FR),スイートウインク
ハウエバー,ローエングリン,アイーンベル
パヴォーネ,シンボリクリスエス(USA),プリンセスミラクル
ハウキュート,アポロキングダム(USA),ヤマトプリティ
ハウトア,プリサイスエンド(USA),オーミチェリッシュ
バウトナカヤマ,バトルプラン(USA),リファールナカヤマ
ハウナニ,ロードカナロア,ユキチャン
ハウマーナ,フリオーソ,ゴーゴースズカ
ハウメア,キングカメハメハ,ダイヤモンドディーバ(GB)
ハウライト,アドマイヤオーラ,ミスバレンタイン
ハウリング,ハードスパン(USA),アースソング
バウンスバッカー,エイシンフラッシュ,ドリームパール
ハガキノハナ,シニスターミニスター(USA),リアルアーネスト(USA)
パガットケーブ,ハーツクライ,トロピカルブラッサム(USA)
バカラボナセーラ,ナカヤマフェスタ,アサンブラージュ
バガーチ,トーセンホマレボシ,ブライトキャップ
ハギノアグレッシブ,クロフネ(USA),ハギノクィーン
ハギノアテナ,クロフネ(USA),ハギノアーク
ハギノアレス,ハーツクライ,ハギノアーク
ハギノカエラ,ハービンジャー(GB),ハギノプリンセス
ハギノグランコート,ディープスカイ,ハギノサフィラ
ハギノグランデ,ヴィクトワールピサ,メイルストローム
ハギノサムサラ,シンボリクリスエス(USA),ハギノハニー
ハギノセゾン,シンボリクリスエス(USA),ハギノエアロ
ハギノハイブリッド,タニノギムレット,ハッピーペインター
ハギノパトリオット,キングカメハメハ,エリモファイナル
ハギノプレスト,ルーラーシップ,ハギノプリンセス
ハギノフロンティア,ヘニーヒューズ(USA),アンブライドルドブリーズ(USA)
ハギノレイラニ,キングカメハメハ,ハギノポンパドール
パキュートハート,カジノドライヴ(USA),キャントセイワーズ
パキラパワー,アポロキングダム(USA),ローランデイラミ(GB)
バギー,ヴィクトリー,クイッククラフティ(USA)
ハグクミ,アドマイヤムーン,シナノザクラ
ハクサンウインク,シルポート,ウインク
ハクサンエルモ,ハーツクライ,オークヒルズ
ハクサンオダイリ,デュランダル,ウインク
ハクサンキャノン,シルポート,ダーレームーン
ハクサングロウ,ストリートセンス(USA),ダーレームーン
ハクサンシップ,クロフネ(USA),ヒシフェアレディ
ハクサンジョイ,アドマイヤムーン,ラティエラ
ハクサンスカイ,マイネルラヴ(USA),ナナミメロディー(IRE)
ハクサンステラ,キンシャサノキセキ(AUS),ミサトバレー
ハクサンタイヨウ,ブラックタイド,クルンプホルツ
ハクサンテンシ,モンテロッソ(GB),バタラバ
ハクサンナチュラル(USA),Broken Vow(USA),Holiday Gold(USA)
ハクサンフエロ,シルポート,メンブランツァ
ハクサンフレンチ,フレンチデピュティ(USA),リキセレナード
ハクサンラピッド,シルポート,アイサレジョウズ
ハクサンルドルフ,アドマイヤムーン,キングスミール
ハクサンレガシー,ロージズインメイ(USA),レガシーパーパス
ハクサンレモン,シルポート,ミサトバレー
ハクサンワールド,キングカメハメハ,カノヤトップレディ
ハクシュカッサイ,ローエングリン,シンセツ
ハクシンヴィーナス,マーベラスサンデー,ポルタトーリ
バクシンスカイ,ディープスカイ,バクシンヒロイン
バクシントゥーレ,キャプテントゥーレ,バクシンクリーク
パクスアメリカーナ,クロフネ(USA),グローバルピース
パクスディオラム,ロードカナロア,オメガクリスマス
ハクバオー,ハードスパン(USA),パーティークィーン
バクハツ,スマートファルコン,ファニーストーリー
ハグミー,アドマイヤジャパン,ミスバレンタイン
バクヤ,ジャイアントレッカー(USA),ヤマカツカトリーヌ
ハクユウヴィグラス,サウスヴィグラス(USA),アースエマーブル
ハクユウカンベエ,マイネルラヴ(USA),ロイヤルキャリー
ハクユウゴールド,ゴールドアリュール,カンタトリーチェ
ハクユウジャック,ノボジャック(USA),ナッツベリー
ハクユウスターダム,ダンスインザダーク,アズチェーナ
ハクユウトライ,ロードカナロア,イシュタルキャスト
ハクユウファイアー,マンハッタンカフェ,ヤマノオーロラ
ハクユウボイジャー,アグネスデジタル(USA),ウインエルドール
ハクユウマックス,アドマイヤマックス,シンシアナ
ハクユウロゼ,ファスリエフ(USA),サイレンスマリア
ハグラー,カジノドライヴ(USA),スフィーダ
バケットリスト,シンボリクリスエス(USA),レチャーダ
ハコダテオウカ,ルーラーシップ,ラヴリージョウ
ハコダテカーニバル,シンボリクリスエス(USA),ラヴリージョウ
ハコダテキミコ,サムライハート,ホットマイハート
ハコダテダリア,ステイゴールド,ラヴリージョウ
ハコダテマイカ,ヴィクトリー,プラチナチャーム
ハザードマップ,フリオーソ,ニシノシャトル
パシオンシャンス,カネヒキリ,タツグレース
バジガクアトラス,キングズベスト(USA),ケイアイカミノアシ
バジガクアミスター,アジュディミツオー,スマートパレード
バジガクアリア,ロージズインメイ(USA),クレバーピルエット
バジガクカラッツ,パイロ(USA),ケイアイデメテル
バジガクサリーレ,キングズベスト(USA),ヤマショウナイナー
バジガクスペラーレ,アジュディケーティング(USA),カフェドフレール
バジガクソレイユ,ロージズインメイ(USA),スペシャルリリー
バジガクノルン,アポロキングダム(USA),フリーダムガール(USA)
バジガクハヤテ,スクワートルスクワート(USA),ハセノヒロイン
バジガクパルフェ,キャプテントゥーレ,コウエイマーベラス
バジガクブルーム,パイロ(USA),アベックプレジール
バジガクブレイズ,パイロ(USA),マチカネユウビ
バジガクベルク,パイロ(USA),スイートベルモット
バジガクミライ,ヴァーミリアン,メジロマルチネス
バジガクミワチャン,クーリンガー,ギンマク
バジガクラビット,ブラックタイド,イゾルデ
バジガクルージュ,セイントアレックス(USA),ヴェネチアンレッド
バジガクレディー,スマートファルコン,コスモリバー
ハシカミ,キャプテンスティーヴ(USA),アオバ
パシコペンネッタ,スターリングローズ,エイシンナポリタン
ハシノオージャ,キョウワスプレンダ,キュートシルフ
ハシノテンザンビ,アサクサキングス,プレミアクロス
