name,age,evaluation,venue,race_name,heads,horsenumber,popularity,horseman,distance,course_status,horse_weight,horse_weight_ratio,winning_percentage,order
タナトス,10,2.67,2京都4,きさらぎ賞(G3),12,5,10,岩田康誠,1800,良,442,0,0.333333333333,0
タナトス,10,2.67,1中山6,京成杯(G3),16,4,13,三浦皇成,2000,良,442,+2,0.333333333333,0
タニノアーバンシー,5,3.97,1中京1,愛知杯(G3),18,5,2,Ｍ．デム,2000,良,518,+2,0.733333333333,0
ダノンキングダム,4,2.25,2東京3,テレビ東京杯青葉賞(G2),12,5,6,内田博幸,2400,良,480,+4,0.444444444444,0
ダノングッド,6,4.00,大井,東京スプリント競走(G3),10,5,5,福永祐一,1200,稍,511,+5,0.347826086957,0
ダノングッド,6,4.00,5中山4,カペラS(G3),16,7,7,丸田恭介,1200,良,504,-12,0.347826086957,0
ダノングッド,6,4.00,3中京4,プロキオンS(G3),15,8,7,丸田恭介,1400,稍,516,+4,0.347826086957,0
ダノングッド,6,4.00,3東京6,ユニコーンS(G3),16,5,11,蛯名正義,1600,稍,500,+2,0.347826086957,0
ダノングレース,3,0.00,4東京8,アルテミスS(G3),15,5,8,蛯名正義,1600,良,412,-10,0.5,0
ダノンケンリュウ,4,0.00,2中山7,フジTVスプリングS(G2),11,1,10,松若風馬,1800,良,472,0,0.25,0
ダノンスパーク,5,2.80,3中山5,ニュージーランドT(G2),16,16,11,石橋脩,1600,良,530,+2,0.454545454545,0
ダノンスマッシュ,3,3.50,5阪神6,朝日フューチュリティ(G1),16,12,4,福永祐一,1600,良,470,+8,0.75,0
ダノンディスタンス,4,3.60,3京都5,京都新聞杯(G2),12,2,6,和田竜二,2200,良,522,+10,0.6,1
ダノンディスタンス,4,3.60,5京都7,ラジオN杯京都2歳S(G3),10,2,4,ルメール,2000,良,526,0,0.6,0
ダノンディーヴァ,4,0.00,1阪神3,チューリップ賞(G3),12,6,4,Ｍ．デム,1600,良,454,-2,0.307692307692,0
ダノンハイパワー,4,2.75,5東京1,京王杯2歳S(G2),13,2,10,横山典弘,1400,良,488,-6,0.416666666667,0
ダノンフェイス,5,2.75,大井,ジャパンダートダービ(G1),12,2,6,岩田康誠,2000,良,524,+4,0.533333333333,0
ダノンフェイス,5,2.75,3東京6,ユニコーンS(G3),16,4,4,福永祐一,1600,良,520,-8,0.533333333333,0
ダノンプラチナ,6,3.54,1東京4,東京新聞杯(G3),16,10,7,田辺裕信,1600,良,490,0,0.642857142857,0
ダノンプラチナ,6,3.54,2新潟6,関屋記念(G3),16,1,8,蛯名正義,1600,良,492,+12,0.642857142857,0
ダノンプラチナ,6,3.54,4東京6,富士S(G3),11,2,2,蛯名正義,1600,良,480,+10,0.642857142857,1
ダノンプラチナ,6,3.54,4中山2,京成杯オータムH(G3),15,5,2,蛯名正義,1600,良,470,-18,0.642857142857,1
ダノンプラチナ,6,3.54,1東京4,東京新聞杯(G3),14,2,2,蛯名正義,1600,良,488,+11,0.642857142857,0
ダノンプラチナ,6,3.54,4東京6,富士S(G3),16,3,4,蛯名正義,1600,良,472,+6,0.642857142857,1
ダノンプラチナ,6,3.54,3中山8,皐月賞(G1),15,15,5,蛯名正義,2000,良,466,-6,0.642857142857,0
ダノンプラチナ,6,3.54,2中山8,フジTVスプリングS(G2),12,8,2,蛯名正義,1800,良,472,0,0.642857142857,1
ダノンプラチナ,6,3.54,5阪神6,朝日フューチュリティ(G1),18,2,1,蛯名正義,1600,稍,472,+6,0.642857142857,1
ダノンプレミアム,3,4.44,5阪神6,朝日フューチュリティ(G1),16,1,1,川田将雅,1600,良,490,+8,1.0,1
ダノンプレミアム,3,4.44,4東京1,サウジアラビアRC(G3),18,2,2,川田将雅,1600,稍,482,+6,1.0,1
ダノンマジェスティ,3,3.43,2京都4,きさらぎ賞(G3),10,9,1,松若風馬,1800,良,472,-6,0.5,0
ダノンメジャー,6,3.65,1小倉4,小倉大賞典(G3),16,2,2,北村友一,1800,良,494,-4,0.310344827586,0
ダノンメジャー,6,3.65,1京都1,スポニチ賞京都金杯(G3),13,6,6,北村友一,1600,良,498,0,0.310344827586,0
ダノンメジャー,6,3.65,5京都6,マイルチャンピオンS(G1),18,6,16,北村友一,1600,稍,498,-4,0.310344827586,0
ダノンメジャー,6,3.65,4京都8,毎日放送賞スワンS(G2),18,15,5,武豊,1400,重,502,+12,0.310344827586,0
