チェゴ,3,0.00,門別,JRA認定フレッシュ(新馬),8,7,1,桑村真明,1200,不,508,0,1
チェストケゴールド,5,0.00,浦和,麗月特別,11,5,10,仲野光馬,1600,稍,479,+5,0
チェストケゴールド,5,0.00,川崎,福寿草特別,12,5,11,楢崎功祐,1600,稍,474,-7,0
チェストケゴールド,5,0.00,浦和,深谷名物「煮ぼうとう,12,1,10,楢崎功祐,1400,稍,481,-8,0
チェストケゴールド,5,0.00,浦和,ターコイズ特別,11,9,10,井上幹太,1400,稍,489,+4,0
チェストケゴールド,5,0.00,川崎,フロイデ特別,14,8,14,井上幹太,1500,良,485,-6,0
チェストケゴールド,5,0.00,浦和,銀杏特別,11,8,11,秋元耕成,1600,不,491,-12,0
チェストケゴールド,5,0.00,浦和,秋陽特別,11,1,9,秋元耕成,1600,不,503,+4,0
チェストケゴールド,5,0.00,浦和,コスモス特別,12,10,11,寺島憂人,1400,良,499,+3,0
チェストケゴールド,5,0.00,船橋,成田賞,12,9,11,秋元耕成,1700,重,496,+7,0
チェストケゴールド,5,0.00,大井,青嶺賞競走,15,5,12,岡田大,1600,稍,489,-16,0
チェストケゴールド,5,0.00,大井,朧月賞競走,16,4,8,瀬川将輝,1600,良,505,+2,0
チェストケゴールド,5,0.00,大井,特選,14,4,10,瀬川将輝,1600,良,503,+23,0
チェストケゴールド,5,0.00,5東京5,3歳上500万下,16,15,11,大野拓弥,1600,重,480,0,0
チェストケゴールド,5,0.00,4中山6,3歳上500万下,16,5,13,大野拓弥,1800,重,480,0,0
チェストケゴールド,5,0.00,2新潟5,3歳上500万下,14,1,6,大野拓弥,1800,良,480,+2,0
チェストケゴールド,5,0.00,2東京9,3歳未勝利,16,11,1,大野拓弥,1600,良,478,-2,1
チェストケゴールド,5,0.00,2東京5,3歳未勝利,16,7,2,松岡正海,1600,良,480,-2,1
チェストケゴールド,5,0.00,1東京8,3歳未勝利,16,14,2,松岡正海,1600,不,482,0,0
チェストケゴールド,5,0.00,1東京2,3歳新馬,15,15,6,松岡正海,1600,稍,482,0,1
チェストケホーク,5,0.00,船橋,早春スプリント,12,9,10,横川尚央,1200,良,497,+6,0
チェストケホーク,5,0.00,船橋,ウインターダッシュ,14,11,13,臼井健太,1000,重,491,+1,0
チェストケホーク,5,0.00,浦和,迎春特別,12,6,12,横川尚央,1400,稍,490,-2,0
チェストケホーク,5,0.00,浦和,埼玉県畜産技術振興会,12,5,12,桜井光輔,1400,良,492,-5,0
チェストケホーク,5,0.00,船橋,烈風スプリント,11,3,11,横川尚央,1200,良,497,+17,0
チェストケホーク,5,0.00,川崎,横須賀グルメストーリ,14,13,14,横川尚央,1500,良,480,-20,0
チェストケホーク,5,0.00,船橋,オクトーバーダッシュ,14,3,13,横川尚央,1000,重,500,+8,0
チェストケホーク,5,0.00,佐賀,JRA交流霧島賞,12,6,12,吉田順治,1400,不,492,-3,0
チェストケホーク,5,0.00,佐賀,ダリア特別,12,9,9,吉田順治,1400,良,495,-1,0
チェストケホーク,5,0.00,佐賀,JRA交流えびの特別,10,6,5,吉田順治,1400,良,496,-7,0
チェストケホーク,5,0.00,佐賀,ラベンダー特別,12,3,8,山下裕貴,1400,稍,503,+7,0
