スアデラ,5,3.88,大井,JBCスプリント競走(G1),16,4,10,赤岡修次,1200,重,487,-4,0.5625,0
スアデラ,5,3.88,大井,東京盃競走(G2),16,11,9,本田正重,1200,良,491,+3,0.5625,0
スイートアリッサム,16,0.00,2京都6,きさらぎ賞(G3),9,2,9,小牧太,1800,良,508,+4,0.416666666667,0
スイートドーナッツ,8,0.00,2小倉12,小倉2歳S(G3),17,15,15,幸英明,1200,良,452,+2,0.108695652174,0
スウィフトハート,4,0.00,川崎,全日本2歳優駿【指定(G1),14,10,11,井上俊彦,1600,不,479,+11,0.588235294118,0
スウィフトハート,4,0.00,門別,北海道2歳優駿〔Jp(G3),13,8,5,井上俊彦,1800,稍,468,+2,0.588235294118,1
スウィープアウェイ,7,2.50,5中山4,カペラS(G3),16,5,16,柴山雄一,1200,良,478,0,0.3,0
スウォナーレ,3,0.00,園田,兵庫ジュニアグランプ(G2),12,1,12,竹村達也,1400,良,452,+1,0.444444444444,0
スカーレットカラー,3,3.00,1中山2,フェアリーS(G3),16,10,6,太宰啓介,1600,良,436,-8,0.8,1
スカーレットカラー,3,3.00,4東京8,アルテミスS(G3),15,9,9,太宰啓介,1600,良,442,+4,0.8,0
スキースクール,6,2.25,川崎,関東オークス【指定交(G2),13,2,6,幸英明,2100,稍,464,-6,0.35,0
スケールアップ,34,0.00,5京都4,エリザベス女王杯(G1),20,8,17,本田優,2400,良,472,+6,0.266666666667,0
スザク,7,0.00,門別,北海道スプリントカッ(G3),16,12,11,桑村真明,1200,不,508,+4,0.272727272727,0
スザク,7,0.00,川崎,全日本2歳優駿[指定(G1),13,4,5,武豊,1600,稍,485,-11,0.272727272727,1
スザク,7,0.00,園田,兵庫ジュニアグランプ(G2),12,9,1,武豊,1400,稍,496,+8,0.272727272727,0
スズカグラーテ,4,2.25,1東京5,デイリー杯クイーンC(G3),16,10,14,長岡禎仁,1600,良,440,-4,0.6875,0
スズカゼ,4,2.60,3中山5,ニュージーランドT(G2),16,7,9,吉田隼人,1600,稍,466,-2,0.166666666667,0
スズカゼ,4,2.60,1東京5,デイリー杯クイーンC(G3),16,13,11,大野拓弥,1600,良,474,0,0.166666666667,0
スズカゼ,4,2.60,5阪神4,阪神ジュベナイルF(G1),18,14,17,松田大作,1600,良,472,0,0.166666666667,0
