name,age,evaluation,venue,race_name,heads,horsenumber,popularity,horseman,distance,course_status,horse_weight,horse_weight_ratio,winning_percentage,order
アストラエンブレム,5,3.48,3東京4,エプソムC(G3),18,10,1,Ｍ．デム,1800,良,470,+4,0.714285714286,1
アストラエンブレム,5,3.48,1京都1,スポニチ賞京都金杯(G3),18,14,2,Ｍ．デム,1600,良,466,+6,0.714285714286,0
アストラエンブレム,5,3.48,3中山5,ニュージーランドT(G2),16,3,1,田辺裕信,1600,良,456,0,0.714285714286,0
アストラエンブレム,5,3.48,1京都3,日刊スポシンザン記念(G3),18,2,3,ルメール,1600,良,456,+4,0.714285714286,0
アスペクト,9,2.50,2新潟8,レパードS(G3),15,1,15,山本政聡,1800,良,474,-9,0.352459016393,0
アスペクト,9,2.50,盛岡,マーキュリーC(G3),14,5,6,山本政聡,2000,不,483,+1,0.352459016393,0
アスペクト,9,2.50,川崎,全日本2歳優駿(G1),12,1,6,斉藤雄一,1600,重,481,-9,0.352459016393,0
アズマタックン,5,0.00,3京都11,京都ハイジャンプ(J.G2),11,2,4,白浜雄造,3930,良,492,0,0.277777777778,0
アズールムーン,4,4.13,1阪神6,フィリーズレビュー(G2),18,2,5,石橋脩,1400,良,518,+6,0.333333333333,0
アズールムーン,4,4.13,園田,兵庫ジュニアグランプ(G2),12,7,1,戸崎圭太,1400,良,512,-2,0.333333333333,0
アダムバローズ,4,3.60,4京都7,菊花賞(G1),18,7,17,池添謙一,3000,不,512,+4,0.416666666667,0
アダムバローズ,4,3.60,4阪神7,神戸新聞杯(G2),14,6,9,池添謙一,2400,良,508,+10,0.416666666667,0
アダムバローズ,4,3.60,3中山8,皐月賞(G1),18,15,11,池添謙一,2000,良,498,-6,0.416666666667,0
アダムバローズ,4,3.60,1中山5,京成杯(G3),15,10,11,蛯名正義,2000,良,512,+8,0.416666666667,0
アダムバローズ,4,3.60,5京都7,ラジオN杯京都2歳S(G3),10,7,5,藤岡康太,2000,良,504,+2,0.416666666667,0
アッシュゴールド,6,3.76,2福島2,ラジオNIKKEI賞(G3),16,7,7,池添謙一,1800,良,434,-4,0.157894736842,0
アッシュゴールド,6,3.76,2阪神1,毎日杯(G3),15,13,2,池添謙一,1800,良,438,-2,0.157894736842,0
アッシュゴールド,6,3.76,2京都4,きさらぎ賞(G3),8,4,3,池添謙一,1800,良,440,+4,0.157894736842,1
アッシュゴールド,6,3.76,5阪神6,朝日フューチュリティ(G1),18,9,4,池添謙一,1600,稍,436,-2,0.157894736842,0
