ワイドエクセレント,8,2.75,浦和,テレ玉杯オーバルスプ(G3),12,12,9,赤岡修次,1400,稍,556,+19,0.535714285714,0
ワイドエクセレント,8,2.75,浦和,さきたま杯(G2),12,7,8,赤岡修次,1400,良,537,-17,0.535714285714,0
ワイドエクセレント,8,2.75,盛岡,クラスターC(G3),14,10,6,石川裕紀,1200,稍,547,-9,0.535714285714,0
ワイルドダラー,7,2.33,3東京6,ユニコーンS(G3),16,10,10,西田雄一,1600,稍,480,-4,0.382352941176,0
ワカチナ,5,4.00,川崎,関東オークス[指定交(G2),14,11,9,矢野貴之,2100,重,444,-1,0.2,0
ワキノヒビキ,6,3.67,4阪神2,産経賞セントウルS(G2),14,10,13,荻野極,1200,良,510,+4,0.178571428571,0
ワキノヒビキ,6,3.67,2中京3,中スポ賞ファルコンS(G3),18,14,10,北村宏司,1400,稍,486,0,0.178571428571,0
ワキノヒビキ,6,3.67,5阪神6,朝日フューチュリティ(G1),18,11,15,北村宏司,1600,稍,486,+4,0.178571428571,0
ワキノヒビキ,6,3.67,5東京1,京王杯2歳S(G2),12,4,2,北村宏司,1400,良,482,-4,0.178571428571,0
ワキノヒビキ,6,3.67,2新潟10,新潟2歳S(G3),18,15,4,横山典弘,1600,良,494,+8,0.178571428571,0
ワキノブレイブ,8,3.13,4阪神2,産経賞セントウルS(G2),14,8,14,小牧太,1200,良,490,-10,0.264150943396,0
ワキノブレイブ,8,3.13,4中山2,京成杯オータムH(G3),15,9,15,津村明秀,1600,良,490,0,0.264150943396,0
ワキノブレイブ,8,3.13,3中京8,トヨタ賞中京記念(G3),16,2,15,ホワイト,1600,良,492,-2,0.264150943396,0
ワキノブレイブ,8,3.13,3中京2,CBC賞(G3),13,8,8,浜中俊,1200,良,494,+2,0.264150943396,0
ワキノブレイブ,8,3.13,2中山3,夕刊フジオーシャンS(G3),16,12,6,横山典弘,1200,良,482,-10,0.264150943396,0
ワキノブレイブ,8,3.13,2京都2,シルクロードS(G3),16,7,11,小牧太,1200,稍,492,-6,0.264150943396,1
ワキノブレイブ,8,3.13,5京都9,京阪杯(G3),15,3,12,松若風馬,1200,良,498,+6,0.264150943396,0
ワキノブレイブ,8,3.13,3中京2,CBC賞(G3),17,17,12,武豊,1200,重,496,+4,0.264150943396,0
ワキノブレイブ,8,3.13,2中京6,高松宮記念(G1),18,5,17,松岡正海,1200,稍,492,-4,0.264150943396,0
ワキノブレイブ,8,3.13,2中山3,夕刊フジオーシャンS(G3),16,8,9,松岡正海,1200,稍,496,-6,0.264150943396,0
ワキノブレイブ,8,3.13,2京都2,シルクロードS(G3),17,5,11,四位洋文,1200,良,502,+8,0.264150943396,0
ワキノブレイブ,8,3.13,5京都9,京阪杯(G3),18,5,3,内田博幸,1200,良,494,0,0.264150943396,0
ワキノブレイブ,8,3.13,2小倉8,TV西日本北九州記念(G3),18,9,11,国分恭介,1200,良,486,+2,0.264150943396,0
ワキノブレイブ,8,3.13,3中京2,CBC賞(G3),16,2,8,幸英明,1200,良,484,-2,0.264150943396,0
ワキノブレイブ,8,3.13,2京都2,シルクロードS(G3),16,7,10,吉田隼人,1200,良,486,+2,0.264150943396,0
ワキノブレイブ,8,3.13,2中京3,中スポ賞ファルコンS(G3),18,15,9,勝浦正樹,1400,良,466,-8,0.264150943396,0
ワキノブレイブ,8,3.13,5中山6,朝日フューチュリティ(G1),16,10,15,福永祐一,1600,良,468,+6,0.264150943396,0
ワグネリアン,3,4.13,5東京5,東京スポーツ杯2歳S(G3),7,3,1,福永祐一,1800,良,454,+4,1.0,1
ワットロンクン,7,2.83,盛岡,マイルチャンピオンシ(G1),15,7,11,山本聡哉,1600,稍,501,-3,0.731707317073,0
ワラッチャウヨネ,4,2.50,4中山1,紫苑S(G3),18,5,18,勝浦正樹,2000,良,420,+10,0.0909090909091,0
ワンスインアライフ,5,0.00,4阪神6,神戸新聞杯(G2),15,10,11,北村友一,2400,良,458,0,0.375,0
ワンスインナムーン,5,2.63,2京都7,京都牝馬S(G3),12,2,3,石橋脩,1400,良,448,+13,0.588235294118,0
ワンスインナムーン,5,2.63,4中山9,スプリンターズS(G1),16,6,7,石橋脩,1200,良,452,0,0.588235294118,1
ワンスインナムーン,5,2.63,2中京6,高松宮記念(G1),18,18,8,石橋脩,1200,稍,434,-4,0.588235294118,0
ワンスインナムーン,5,2.63,2京都7,京都牝馬S(G3),18,15,7,石橋脩,1400,稍,438,-8,0.588235294118,1
ワンダフルラッシュ,5,2.63,1阪神6,フィリーズレビュー(G2),18,12,15,シュタル,1400,良,430,-4,0.2,0
ワンダーアツレッタ,6,3.25,4京都7,菊花賞(G1),18,12,9,Ｍ．デム,3000,良,486,+6,0.526315789474,0
ワンダーアツレッタ,6,3.25,3中山8,皐月賞(G1),15,4,14,柴田大知,2000,良,472,-8,0.526315789474,0
ワンダーピルエット,5,2.50,4京都5,秋華賞(G1),18,13,16,小牧太,2000,良,474,-8,0.368421052632,0
ワンダープチュック,4,0.00,5京都7,ラジオN杯京都2歳S(G3),10,5,8,武豊,2000,良,478,+2,0.416666666667,0
ワントゥワン,5,2.90,5京都1,KBSファンタジーS(G3),12,7,4,池添謙一,1400,良,430,+14,0.631578947368,0
ワンブレスアウェイ,5,3.83,1中京1,愛知杯(G3),18,18,8,津村明秀,2000,良,484,-2,0.666666666667,0
ワンブレスアウェイ,5,3.83,5中山5,ターコイズS(G3),16,2,2,戸崎圭太,1600,良,486,-8,0.666666666667,0
ワンブレスアウェイ,5,3.83,4東京4,アイルランド府中牝馬(G2),14,12,4,田辺裕信,1800,稍,494,+16,0.666666666667,0
ワンミリオンス,5,3.00,大井,JBCレディスクラシ(G1),15,1,3,福永祐一,1800,重,464,-12,0.692307692308,0
ワンミリオンス,5,3.00,船橋,マリーンC(G3),11,6,1,戸崎圭太,1600,重,476,+5,0.692307692308,0
ワンミリオンス,5,3.00,川崎,エンプレス杯【指定交(G2),13,9,1,戸崎圭太,2100,良,471,-3,0.692307692308,1
ワンミリオンス,5,3.00,大井,TCK女王盃競走(G3),12,7,2,戸崎圭太,1800,良,474,0,0.692307692308,1
ワークアンドラブ,3,0.00,5中山9,ホープフルS(G1),17,14,16,内田博幸,2000,良,462,-8,0.5,0
ワールドフォーラブ,4,3.94,1阪神3,チューリップ賞(G3),12,11,9,松若風馬,1600,良,438,-4,0.5,0
ワールドレーヴ,8,3.00,1中山5,京成杯(G3),12,2,10,ルメール,2000,良,466,+2,0.342105263158,0
